,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_050_mu_0_2_node_0,37,0.2822822822822823,0.002751216142203844,0.4024979854955681,2.4844844844844847,0.032689067387506716,25.0,12.0,2.083333333333333,0.3243243243243245,0.3529411764705881,0.012422360248447204,0.19354838709677416,0.19399187885521896,0.7352941176470587
graph_050_mu_0_2_node_1,24,0.29347826086956524,0.001130588407028271,0.3724832214765101,2.684684684684685,0.015264879215152299,18.0,6.0,3.0,0.25,0.21428571428571427,0.006172839506172838,0.1428571428571428,0.14307882319409698,0.6428571428571429
graph_050_mu_0_2_node_2,30,0.30952380952380953,0.0021589049391609483,0.3830521472392638,2.6106106106106104,0.017678719781708048,20.0,10.0,2.0,0.33333333333333326,0.4761904761904762,0.010214504596527068,0.20000000000000004,0.20036946722825677,0.904761904761905
graph_050_mu_0_2_node_3,45,0.25353535353535356,0.0038632296434696687,0.4122988031366075,2.4254254254254253,0.044327298255046624,33.0,12.0,2.75,0.2666666666666666,0.2790697674418605,0.012539184952978058,0.1538461538461538,0.1542899080063491,0.7674418604651162
graph_050_mu_0_2_node_4,36,0.30158730158730157,0.0028524285011200406,0.4004008016032064,2.4974974974974975,0.04931875891420171,24.0,12.0,2.0,0.33333333333333326,0.2999999999999999,0.012500000000000002,0.20000000000000004,0.20044345898004445,0.5999999999999998
graph_050_mu_0_2_node_5,21,0.3391812865497076,0.0010068319102323733,0.36287686160552124,2.755755755755756,0.009432631915627446,15.0,6.0,2.5,0.2857142857142856,0.33333333333333326,0.006109979633401222,0.16666666666666663,0.1668882978723404,0.777777777777778
graph_050_mu_0_2_node_6,20,0.3,0.0011874523749100037,0.36660550458715596,2.7277277277277276,0.01297174732530553,12.0,8.0,1.5,0.4000000000000001,0.5,0.008130081300813009,0.25,0.25029542097488916,0.75
graph_050_mu_0_2_node_7,27,0.3333333333333333,0.0008969696386745073,0.3823191733639495,2.6156156156156154,0.0481445099131243,21.0,6.0,3.5,0.2222222222222223,0.125,0.006302521008403364,0.125,0.12522172949002217,0.4375
graph_050_mu_0_2_node_8,33,0.3162878787878788,0.002344607762646052,0.39161113288906313,2.5535535535535536,0.028021601120291267,22.0,11.0,2.0,0.33333333333333326,0.3666666666666666,0.011340206185567005,0.20000000000000004,0.20040645900306686,0.7333333333333332
graph_050_mu_0_2_node_9,36,0.31194295900178254,0.0022131342554392785,0.3894736842105263,2.5675675675675675,0.026903014662842815,26.0,10.0,2.600000000000001,0.2777777777777778,0.30303030303030304,0.010341261633919342,0.16129032258064516,0.16165995368879923,0.7575757575757577
graph_050_mu_0_2_node_10,40,0.31152204836415365,0.0027053883961782434,0.4015273311897106,2.4904904904904903,0.0370733499610231,28.0,12.0,2.3333333333333335,0.2999999999999999,0.36363636363636365,0.012409513960703205,0.17647058823529405,0.17691417835802078,0.8181818181818182
graph_050_mu_0_2_node_11,25,0.33992094861660077,0.0009665048225376517,0.3724832214765101,2.684684684684685,0.016566187870103537,20.0,5.0,4.0,0.20000000000000004,0.14705882352941177,0.005175983436853002,0.11111111111111115,0.11129587885805316,0.5588235294117646
graph_050_mu_0_2_node_12,23,0.30434782608695654,0.001298071679645299,0.3734579439252336,2.6776776776776776,0.013685314033125751,15.0,8.0,1.875,0.3478260869565216,0.4000000000000001,0.008163265306122451,0.21052631578947364,0.2108218022340331,0.75
graph_050_mu_0_2_node_13,26,0.24307692307692308,0.0016838393214168234,0.3867595818815331,2.5855855855855854,0.02542503822062282,16.0,10.0,1.6000000000000003,0.38461538461538475,0.23255813953488375,0.010449320794148379,0.2380952380952381,0.23846459615093718,0.37209302325581384
graph_050_mu_0_2_node_14,19,0.40441176470588236,0.0005864084575699296,0.35819290068124776,2.7917917917917916,0.009584955222613482,14.0,5.0,2.7999999999999994,0.2631578947368421,0.35714285714285704,0.005070993914807303,0.15151515151515152,0.15169983736452175,0.9285714285714288
graph_050_mu_0_2_node_15,32,0.4160919540229885,0.0011683096757440078,0.38482280431432975,2.5985985985985987,0.04597545669357346,26.0,6.0,4.333333333333334,0.1875,0.14999999999999994,0.006250000000000001,0.10344827586206896,0.10367008732232773,0.625
graph_050_mu_0_2_node_16,45,0.29797979797979796,0.003915913526489626,0.41128036228900783,2.4314314314314314,0.04057739215790572,33.0,12.0,2.75,0.2666666666666666,0.33333333333333326,0.01244813278008299,0.1538461538461538,0.1542899080063491,0.9166666666666664
graph_050_mu_0_2_node_17,38,0.19206349206349208,0.002493356882461918,0.3986432561851556,2.5085085085085086,0.03885403818875297,26.0,12.0,2.166666666666667,0.31578947368421056,0.24489795918367344,0.012618296529968457,0.1875,0.18794352454169128,0.5102040816326533
graph_050_mu_0_2_node_18,37,0.2571428571428571,0.0029458734768044214,0.4000800961153384,2.4994994994994997,0.033123990709927095,24.0,13.0,1.8461538461538465,0.3513513513513515,0.3823529411764707,0.013457556935817802,0.21311475409836064,0.21359515024041006,0.676470588235294
graph_050_mu_0_2_node_19,51,0.2372448979591837,0.004540499091240424,0.4150394682176984,2.4094094094094096,0.05182131324050849,37.0,14.0,2.6428571428571432,0.27450980392156854,0.2857142857142856,0.01472134595162986,0.15909090909090912,0.15960873717198615,0.7346938775510204
graph_050_mu_0_2_node_20,37,0.33783783783783783,0.002717459895979583,0.3940828402366864,2.5375375375375375,0.030274846740408094,26.0,11.0,2.3636363636363638,0.29729729729729737,0.3666666666666666,0.011340206185567005,0.17460317460317454,0.17500975379371242,0.8666666666666669
graph_050_mu_0_2_node_21,31,0.3827956989247312,0.001647017631604844,0.3906922174423152,2.5595595595595597,0.04246166486035364,22.0,9.0,2.4444444444444433,0.29032258064516125,0.21951219512195133,0.009384775808133473,0.16981132075471703,0.17014390269921267,0.5365853658536587
graph_050_mu_0_2_node_22,23,0.22134387351778656,0.0015234580277623951,0.3801369863013699,2.630630630630631,0.017835462626217553,13.0,10.0,1.3000000000000005,0.4347826086956522,0.5,0.01020408163265306,0.2777777777777778,0.27814705399638934,0.6500000000000002
graph_050_mu_0_2_node_23,27,0.42165242165242167,0.0006973621882555485,0.3769811320754717,2.6526526526526526,0.055548776091474836,23.0,4.0,5.75,0.14814814814814814,0.08333333333333331,0.0042016806722689065,0.08,0.08014785244326163,0.4791666666666668
graph_050_mu_0_2_node_24,26,0.3292307692307692,0.001708880165264783,0.3757051523128996,2.6616616616616615,0.015616562966103253,17.0,9.0,1.8888888888888888,0.34615384615384615,0.3913043478260869,0.009211873080859774,0.2093023255813953,0.2096347846704574,0.7391304347826088
graph_050_mu_0_2_node_25,31,0.2924731182795699,0.0015601866104140514,0.38735944164404806,2.5815815815815815,0.035085749171780554,23.0,8.0,2.875,0.25806451612903214,0.16326530612244897,0.008412197686645638,0.14814814814814814,0.1484438093204447,0.4693877551020407
graph_050_mu_0_2_node_26,21,0.30994152046783624,0.0012809785745478454,0.37179010048381095,2.68968968968969,0.015114894858805983,13.0,8.0,1.625,0.3809523809523811,0.5714285714285712,0.008113590263691683,0.23529411764705885,0.23558956044194762,0.8571428571428571
graph_050_mu_0_2_node_27,26,0.39076923076923076,0.001045553524337355,0.3710995542347697,2.694694694694695,0.016421951467738935,21.0,5.0,4.200000000000002,0.19230769230769237,0.14705882352941177,0.005175983436853002,0.1063829787234043,0.1065677601270038,0.6176470588235293
graph_050_mu_0_2_node_28,45,0.31893687707641194,0.003268471142810413,0.41128036228900783,2.4314314314314314,0.049203522148722326,33.0,12.0,2.75,0.2666666666666666,0.3076923076923076,0.012486992715920913,0.1538461538461538,0.1542899080063491,0.8205128205128208
graph_050_mu_0_2_node_29,36,0.37254901960784315,0.0014710245473328097,0.38901869158878505,2.5705705705705704,0.05015701445169011,27.0,9.0,3.0,0.25,0.22500000000000006,0.009374999999999996,0.1428571428571428,0.14318984774790477,0.6500000000000002
graph_050_mu_0_2_node_30,24,0.2077922077922078,0.0016091032026403038,0.37955927051671734,2.6346346346346348,0.01801870079127602,14.0,10.0,1.3999999999999997,0.41666666666666674,0.35714285714285704,0.0102880658436214,0.2631578947368421,0.26352719823045323,0.4642857142857144
graph_050_mu_0_2_node_31,21,0.29239766081871343,0.0010418178798447036,0.36208771293947084,2.7617617617617616,0.009124097793265387,14.0,7.0,2.0,0.33333333333333326,0.4375,0.00711382113821138,0.20000000000000004,0.200258541089566,0.8125
graph_050_mu_0_2_node_32,35,0.2859848484848485,0.0026707382562145506,0.391304347826087,2.5555555555555554,0.02241816200566094,24.0,11.0,2.1818181818181808,0.3142857142857142,0.39285714285714296,0.01131687242798354,0.18644067796610167,0.18684719705402075,0.8214285714285712
graph_050_mu_0_2_node_33,42,0.2423076923076923,0.0034818174109476534,0.4079216006533279,2.4514514514514514,0.044720484686309646,29.0,13.0,2.23076923076923,0.3095238095238094,0.2653061224489796,0.013669821240799159,0.18309859154929584,0.18357916528039636,0.5714285714285712
graph_050_mu_0_2_node_34,26,0.4,0.000774117160286436,0.38086160884483417,2.625625625625626,0.035129910059796876,21.0,5.0,4.200000000000002,0.19230769230769237,0.10204081632653059,0.005257623554153522,0.1063829787234043,0.1065677601270038,0.42857142857142855
graph_050_mu_0_2_node_35,34,0.4206773618538324,0.0013615853327639408,0.38766006984866125,2.5795795795795797,0.045905881687206794,28.0,6.0,4.666666666666667,0.17647058823529405,0.1463414634146341,0.006256517205422318,0.09677419354838708,0.09699603781371285,0.6829268292682927
graph_050_mu_0_2_node_36,31,0.3204301075268817,0.0016391680867148498,0.3908450704225352,2.5585585585585586,0.03178080647611882,23.0,8.0,2.875,0.25806451612903214,0.18604651162790692,0.008359456635318702,0.14814814814814814,0.1484438093204447,0.5348837209302326
graph_050_mu_0_2_node_37,43,0.27682926829268295,0.0029806439406953695,0.4107730263157895,2.4344344344344346,0.0624955613510859,28.0,15.0,1.866666666666667,0.34883720930232553,0.375,0.015625,0.21126760563380287,0.21182203180271802,0.6750000000000002
graph_050_mu_0_2_node_38,30,0.26436781609195403,0.0022508970590784188,0.3906922174423152,2.5595595595595597,0.023688202684575253,19.0,11.0,1.7272727272727268,0.3666666666666666,0.39285714285714296,0.01131687242798354,0.22448979591836735,0.22489616482745148,0.6785714285714288
graph_050_mu_0_2_node_39,26,0.40923076923076923,0.0011824699929203937,0.37,2.7027027027027026,0.0191809484660812,19.0,7.0,2.7142857142857153,0.2692307692307692,0.23333333333333336,0.007216494845360826,0.1555555555555555,0.15581419217111064,0.6333333333333331
graph_050_mu_0_2_node_40,30,0.2735632183908046,0.002166077915836099,0.4007220216606498,2.4954954954954953,0.0431962645445007,18.0,12.0,1.5,0.4000000000000001,0.2999999999999999,0.012500000000000002,0.25,0.2504432624113475,0.4500000000000001
graph_050_mu_0_2_node_41,26,0.36594202898550726,0.001363071775583581,0.3667400881057269,2.7267267267267266,0.012569672355259413,19.0,7.0,2.7142857142857153,0.2692307692307692,0.3499999999999999,0.007142857142857144,0.1555555555555555,0.15581419217111064,0.9000000000000002
graph_050_mu_0_2_node_42,34,0.375,0.0016085321872370615,0.3882627283326856,2.5755755755755754,0.04635569685938004,26.0,8.0,3.25,0.23529411764705885,0.19512195121951223,0.008342022940563089,0.1333333333333333,0.1336290600818177,0.6097560975609755
graph_050_mu_0_2_node_43,33,0.2537878787878788,0.002557002898336264,0.40056134723336007,2.4964964964964964,0.03782099370817463,20.0,13.0,1.538461538461539,0.39393939393939387,0.33333333333333326,0.013527575442247662,0.24528301886792456,0.24576327303320591,0.5128205128205128
graph_050_mu_0_2_node_44,54,0.20512820512820512,0.006051950185865126,0.42366412213740456,2.3603603603603602,0.059015131211235826,37.0,17.0,2.176470588235294,0.3148148148148148,0.34693877551020413,0.01787592008412198,0.18681318681318687,0.18744190828957272,0.7346938775510204
graph_050_mu_0_2_node_45,35,0.30303030303030304,0.0016255009193718727,0.3978494623655914,2.5135135135135136,0.06675768287906873,26.0,9.0,2.888888888888888,0.2571428571428571,0.1875,0.00945378151260504,0.14754098360655735,0.14787366390079462,0.5208333333333333
graph_050_mu_0_2_node_46,29,0.29310344827586204,0.001931229029844227,0.3894736842105263,2.5675675675675675,0.050083702100132736,20.0,9.0,2.2222222222222223,0.31034482758620696,0.1875,0.00945378151260504,0.1836734693877551,0.18400600217918314,0.41666666666666674
graph_050_mu_0_2_node_47,36,0.32798573975044565,0.002089003849032899,0.3909980430528376,2.5575575575575575,0.04740211449376573,26.0,10.0,2.600000000000001,0.2777777777777778,0.25,0.010416666666666664,0.16129032258064516,0.16165995368879923,0.625
graph_050_mu_0_2_node_48,40,0.2794871794871795,0.003501935718081684,0.40445344129554656,2.4724724724724725,0.048119238648290485,26.0,14.0,1.8571428571428577,0.3499999999999999,0.34146341463414637,0.014598540145985404,0.21212121212121207,0.21263861917273102,0.6341463414634146
graph_050_mu_0_2_node_49,20,0.24836601307189543,0.0011921885273714016,0.3602596465921385,2.775775775775776,0.007161468562037939,12.0,8.0,1.5,0.4000000000000001,0.5333333333333332,0.008121827411167511,0.25,0.25029542097488916,0.7333333333333332
graph_050_mu_0_2_node_50,20,0.4052631578947368,0.0009516084131963919,0.3690432212781677,2.70970970970971,0.013586408001031546,15.0,5.0,3.0,0.25,0.17857142857142852,0.0051440329218107,0.1428571428571428,0.14304184235106623,0.5357142857142857
graph_050_mu_0_2_node_51,32,0.22983870967741934,0.0026084021128838434,0.3997599039615846,2.5015015015015014,0.031221823262445714,20.0,12.0,1.666666666666667,0.375,0.2790697674418605,0.012539184952978058,0.2307692307692308,0.23121255868411175,0.4651162790697675
graph_050_mu_0_2_node_52,34,0.37254901960784315,0.001757797216013251,0.3925343811394892,2.5475475475475475,0.06737893107908073,26.0,8.0,3.25,0.23529411764705885,0.16666666666666663,0.008403361344537813,0.1333333333333333,0.1336290600818177,0.5416666666666667
graph_050_mu_0_2_node_53,26,0.2898550724637681,0.0012331149882275263,0.38261202604366146,2.6136136136136137,0.02317118261999372,18.0,8.0,2.25,0.3076923076923076,0.23529411764705885,0.008281573498964802,0.18181818181818182,0.18211373376143583,0.5
graph_050_mu_0_2_node_54,28,0.36,0.0015633236371868466,0.37955927051671734,2.6346346346346348,0.018336514649068814,19.0,9.0,2.111111111111111,0.32142857142857145,0.42857142857142855,0.009193054136874363,0.19148936170212763,0.19182186992246977,0.8571428571428571
graph_050_mu_0_2_node_55,33,0.3390151515151515,0.002438164812887779,0.388715953307393,2.5725725725725725,0.027250856760496538,24.0,9.0,2.666666666666666,0.2727272727272726,0.2727272727272726,0.009307135470527406,0.15789473684210528,0.15822736795420192,0.7272727272727273
graph_050_mu_0_2_node_56,32,0.3024193548387097,0.0017931255431001042,0.3967434471803018,2.5205205205205203,0.06465979388220992,22.0,10.0,2.1999999999999997,0.3125,0.20833333333333337,0.010504201680672266,0.18518518518518517,0.18555470702392585,0.4583333333333332
graph_050_mu_0_2_node_57,24,0.41125541125541126,0.0009668352490343149,0.3716517857142857,2.690690690690691,0.01645822248387544,17.0,7.0,2.4285714285714284,0.2916666666666667,0.3043478260869565,0.00716479017400205,0.17073170731707318,0.17099030571376309,0.6956521739130432
graph_050_mu_0_2_node_58,34,0.3387096774193548,0.0022049164091471683,0.3967434471803018,2.5205205205205203,0.027371355362340612,23.0,11.0,2.09090909090909,0.3235294117647059,0.4782608695652175,0.011258955987717504,0.1929824561403509,0.19338894518362348,0.956521739130435
graph_050_mu_0_2_node_59,23,0.3523809523809524,0.0011474129029770395,0.36958934517203107,2.705705705705706,0.012389532052543499,16.0,7.0,2.2857142857142847,0.3043478260869565,0.4375,0.00711382113821138,0.1794871794871794,0.17974575877867224,0.9375
graph_050_mu_0_2_node_60,31,0.31773399014778325,0.0017353239790452754,0.3881118881118881,2.5765765765765765,0.028774855339970467,22.0,9.0,2.4444444444444433,0.29032258064516125,0.25,0.009336099585062239,0.16981132075471703,0.17014390269921267,0.5833333333333334
graph_050_mu_0_2_node_61,37,0.3378151260504202,0.0022060260112609226,0.3953304313415117,2.5295295295295297,0.03384262476967772,28.0,9.0,3.111111111111112,0.24324324324324328,0.25,0.009336099585062239,0.1384615384615384,0.13879426795246236,0.75
graph_050_mu_0_2_node_62,25,0.21333333333333335,0.0019379605950082793,0.38467462456680784,2.5995995995995997,0.023794428534653092,14.0,11.0,1.272727272727273,0.4400000000000001,0.2558139534883721,0.011494252873563216,0.282051282051282,0.28245750089245053,0.3255813953488372
