feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Betweenness,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Closeness,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clustering Coefficient,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conductance,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cut Ratio,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Degree,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E In,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E In Over E Out,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E Out,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eigenvector,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expansion,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normalised Cut,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODF,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortest Path,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Triangle Participation,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
