,Stability
graph_099_mu_0_2_node_830,1
graph_099_mu_0_2_node_525,1
graph_099_mu_0_2_node_300,1
graph_099_mu_0_2_node_914,1
graph_099_mu_0_2_node_812,1
graph_099_mu_0_2_node_981,1
graph_099_mu_0_2_node_695,1
graph_099_mu_0_2_node_560,1
graph_099_mu_0_2_node_546,1
graph_099_mu_0_2_node_707,1
graph_099_mu_0_2_node_337,1
graph_099_mu_0_2_node_638,1
graph_099_mu_0_2_node_650,1
graph_099_mu_0_2_node_600,1
graph_099_mu_0_2_node_906,1
graph_099_mu_0_2_node_17,1
graph_099_mu_0_2_node_511,1
graph_099_mu_0_2_node_214,1
graph_099_mu_0_2_node_391,1
graph_099_mu_0_2_node_682,1
graph_099_mu_0_2_node_799,1
graph_099_mu_0_2_node_661,1
graph_099_mu_0_2_node_673,1
graph_099_mu_0_2_node_407,1
graph_099_mu_0_2_node_358,1
graph_099_mu_0_2_node_952,1
graph_099_mu_0_2_node_146,1
graph_099_mu_0_2_node_846,1
graph_099_mu_0_2_node_921,1
graph_099_mu_0_2_node_0,1
graph_099_mu_0_2_node_759,1
graph_099_mu_0_2_node_147,1
graph_099_mu_0_2_node_123,1
graph_099_mu_0_2_node_374,1
graph_099_mu_0_2_node_322,1
graph_099_mu_0_2_node_509,1
graph_099_mu_0_2_node_53,1
graph_099_mu_0_2_node_403,1
graph_099_mu_0_2_node_216,1
graph_099_mu_0_2_node_201,1
graph_099_mu_0_2_node_571,1
graph_099_mu_0_2_node_3,1
graph_099_mu_0_2_node_476,1
graph_099_mu_0_2_node_663,1
graph_099_mu_0_2_node_281,1
graph_099_mu_0_2_node_555,1
graph_099_mu_0_2_node_45,1
graph_099_mu_0_2_node_472,1
graph_099_mu_0_2_node_639,1
graph_099_mu_0_2_node_877,1
graph_099_mu_0_2_node_542,1
graph_099_mu_0_2_node_775,1
graph_099_mu_0_2_node_628,1
graph_099_mu_0_2_node_704,1
graph_099_mu_0_2_node_610,1
graph_099_mu_0_2_node_18,1
graph_099_mu_0_2_node_196,1
graph_099_mu_0_2_node_109,1
graph_099_mu_0_2_node_575,1
graph_099_mu_0_2_node_273,1
graph_099_mu_0_2_node_740,1
graph_099_mu_0_2_node_726,1
graph_099_mu_0_2_node_941,1
graph_099_mu_0_2_node_434,1
graph_099_mu_0_2_node_251,1
graph_099_mu_0_2_node_73,1
graph_099_mu_0_2_node_848,1
graph_099_mu_0_2_node_702,1
