,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_099_mu_0_3_node_621,31,0.1784946236559139,0.0011694723993052,0.4467799642218247,2.2382382382382384,0.0354839970716986,18.0,13.0,1.3846153846153846,0.4193548387096773,0.087248322147651,0.0152761457109283,0.2653061224489796,0.2657205971819621,0.1208053691275168
graph_099_mu_0_3_node_845,22,0.2510822510822511,0.0004682147007419,0.4272882805816937,2.34034034034034,0.0338807595133515,13.0,9.0,1.444444444444444,0.4090909090909091,0.0656934306569343,0.0104287369640787,0.2571428571428571,0.2574297463080097,0.0948905109489051
graph_099_mu_0_3_node_722,62,0.1353781068217874,0.0032242586405655,0.4653004191895668,2.149149149149149,0.0567739073794147,41.0,21.0,1.9523809523809523,0.3387096774193549,0.1409395973154362,0.0246768507638072,0.203883495145631,0.2045538434075137,0.2751677852348994
graph_099_mu_0_3_node_997,18,0.4640522875816993,0.0001787437618083,0.4224101479915433,2.3673673673673674,0.0354962056954036,14.0,4.0,3.5,0.2222222222222223,0.0291970802919708,0.0046349942062572,0.125,0.1251275347532203,0.1021897810218978
graph_099_mu_0_3_node_860,23,0.1936758893280632,0.0006107585460683,0.3872093023255814,2.5825825825825826,0.0083346013309922,14.0,9.0,1.555555555555556,0.3913043478260869,0.2307692307692308,0.0093652445369406,0.2432432432432432,0.2435301506996493,0.3589743589743588
graph_099_mu_0_3_node_597,17,0.1470588235294117,0.0003674258646881,0.3978494623655914,2.5135135135135136,0.0108395960055779,8.0,9.0,0.8888888888888892,0.5294117647058824,0.2,0.0094240837696335,0.36,0.3602867977438578,0.1777777777777777
graph_099_mu_0_3_node_123,27,0.0968660968660968,0.000883329637079,0.4358638743455497,2.294294294294294,0.0195744588045398,8.0,19.0,0.4210526315789473,0.7037037037037039,0.3454545454545456,0.0201058201058201,0.5428571428571429,0.5434624118832969,0.1454545454545454
graph_099_mu_0_3_node_625,22,0.2207792207792207,0.0005706919358174,0.396271320904403,2.523523523523524,0.013653295572688,11.0,11.0,1.0,0.5,0.4583333333333332,0.0112704918032786,0.3333333333333332,0.333683908595468,0.4583333333333332
graph_099_mu_0_3_node_558,29,0.1330049261083744,0.0012372428673193,0.4283876500857633,2.334334334334334,0.0171716455200481,15.0,14.0,1.0714285714285714,0.482758620689655,0.4000000000000001,0.0145077720207253,0.3181818181818182,0.3186280759913298,0.4285714285714285
graph_099_mu_0_3_node_544,96,0.0979180965454129,0.0097588896934596,0.4911504424778761,2.036036036036036,0.0420030177152693,60.0,36.0,1.666666666666667,0.375,0.4800000000000002,0.0389189189189189,0.2307692307692308,0.2319192435471504,0.7866666666666667
graph_099_mu_0_3_node_535,21,0.1571428571428571,0.00041714426343,0.3943939992104224,2.535535535535536,0.0119942998716389,13.0,8.0,1.625,0.3809523809523811,0.2105263157894736,0.0083160083160083,0.2352941176470588,0.2355491383674923,0.3421052631578947
graph_099_mu_0_3_node_650,34,0.1491935483870967,0.0014441239432154,0.430603448275862,2.3223223223223224,0.0195169612477203,16.0,18.0,0.8888888888888892,0.5294117647058824,0.4390243902439026,0.0187695516162669,0.36,0.3605737234652898,0.3658536585365854
graph_099_mu_0_3_node_885,22,0.2987012987012987,0.0003847121958857,0.4247448979591837,2.354354354354354,0.035907325980923,15.0,7.0,2.142857142857143,0.3181818181818182,0.0510948905109489,0.0081112398609501,0.1891891891891892,0.1894123678915644,0.1094890510948905
graph_099_mu_0_3_node_479,20,0.3157894736842105,0.0003299384730013,0.4155574043261231,2.4064064064064064,0.0264523440370415,14.0,6.0,2.333333333333333,0.2999999999999999,0.0402684563758389,0.0070505287896592,0.176470588235294,0.1766618781670673,0.0939597315436241
