TOP 10 FEATURES BY ALE IMPORTANCE
========================================

                  feature  max_abs_effect  mean_effect  n_graphs
0             Betweenness             0.0          0.0       120
1               Closeness             0.0          0.0       120
2  Clustering Coefficient             0.0          0.0       120
3             Conductance             0.0          0.0       120
4               Cut Ratio             0.0          0.0       120
5                  Degree             0.0          0.0       120
6                    E In             0.0          0.0       120
7         E In Over E Out             0.0          0.0       120
8                   E Out             0.0          0.0       120
9             Eigenvector             0.0          0.0       120
