,Entropy
graph_08_mu_0_4_node_0,0.03186784
graph_08_mu_0_4_node_1,0.045439154
graph_08_mu_0_4_node_2,0.01952759
graph_08_mu_0_4_node_3,0.06358216
graph_08_mu_0_4_node_4,0.027389826
graph_08_mu_0_4_node_5,0.07960679
graph_08_mu_0_4_node_6,0.04139926
graph_08_mu_0_4_node_7,0.031844217
graph_08_mu_0_4_node_8,0.029809939
graph_08_mu_0_4_node_9,0.027389826
graph_08_mu_0_4_node_10,0.027389826
graph_08_mu_0_4_node_11,0.056119423
graph_08_mu_0_4_node_12,0.029809939
graph_08_mu_0_4_node_13,0.04450001
graph_08_mu_0_4_node_14,0.04450001
graph_08_mu_0_4_node_15,0.03746712
graph_08_mu_0_4_node_16,0.03415626
graph_08_mu_0_4_node_17,0.036900293
graph_08_mu_0_4_node_18,0.05195348
graph_08_mu_0_4_node_19,0.09298261
graph_08_mu_0_4_node_20,0.03746712
graph_08_mu_0_4_node_21,0.031242425
graph_08_mu_0_4_node_22,0.052393693
graph_08_mu_0_4_node_23,0.045375578
graph_08_mu_0_4_node_24,0.04606568
graph_08_mu_0_4_node_25,0.03746712
graph_08_mu_0_4_node_26,0.05342469
graph_08_mu_0_4_node_27,0.04606568
graph_08_mu_0_4_node_28,0.03746712
graph_08_mu_0_4_node_29,0.055937145
graph_08_mu_0_4_node_30,0.039570507
graph_08_mu_0_4_node_31,0.03186784
graph_08_mu_0_4_node_32,0.042912237
graph_08_mu_0_4_node_33,0.035424925
graph_08_mu_0_4_node_34,0.04056113
graph_08_mu_0_4_node_35,0.06711487
graph_08_mu_0_4_node_36,0.035424925
graph_08_mu_0_4_node_37,0.035424925
graph_08_mu_0_4_node_38,0.056119423
graph_08_mu_0_4_node_39,0.045375578
graph_08_mu_0_4_node_40,0.07968636
graph_08_mu_0_4_node_41,0.052393693
graph_08_mu_0_4_node_42,0.03746712
graph_08_mu_0_4_node_43,0.048707243
graph_08_mu_0_4_node_44,0.04139926
graph_08_mu_0_4_node_45,0.029809939
graph_08_mu_0_4_node_46,0.036789156
graph_08_mu_0_4_node_47,0.031844217
graph_08_mu_0_4_node_48,0.056119423
graph_08_mu_0_4_node_49,0.04139926
graph_08_mu_0_4_node_50,0.04037871
graph_08_mu_0_4_node_51,0.05216747
graph_08_mu_0_4_node_52,0.045375578
graph_08_mu_0_4_node_53,0.065159105
graph_08_mu_0_4_node_54,0.06672212
graph_08_mu_0_4_node_55,0.04056113
graph_08_mu_0_4_node_56,0.035424925
graph_08_mu_0_4_node_57,0.035424925
graph_08_mu_0_4_node_58,0.02115097
graph_08_mu_0_4_node_59,0.022507703
graph_08_mu_0_4_node_60,0.034254324
graph_08_mu_0_4_node_61,0.052393693
