,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_09_mu_0_2_node_919,21,0.1929824561403508,0.0014454516045362,0.3632727272727272,2.7527527527527527,0.0151165605150395,12.005,8.995,1.334958333333333,0.4283333333333333,0.2727540989857394,0.0093106025883631,0.2725443850267378,0.2728979205471432,0.3336377259208419
graph_09_mu_0_2_node_579,22,0.3333333333333333,0.0016750835683635,0.3690432212781677,2.70970970970971,0.0109516929366112,15.0,7.0,2.142857142857143,0.3181818181818182,0.411764705882353,0.0071210579857578,0.1891891891891892,0.1894644005121693,0.8823529411764709
graph_09_mu_0_2_node_839,14,0.4696969696969697,0.0003294508952801,0.3453162806774974,2.895895895895896,0.0057367476712257,11.0,3.0,3.6666666666666656,0.2142857142857142,0.176470588235294,0.0030518819938962,0.12,0.1201179291638822,0.5882352941176471
graph_09_mu_0_2_node_582,14,0.1363636363636363,0.0007925836125619,0.3552631578947368,2.814814814814815,0.0061019568253479,7.0,7.0,1.0,0.5,0.2122371387173034,0.0072456349586823,0.3333333333333332,0.3336083716422405,0.1819175474719743
graph_09_mu_0_2_node_167,28,0.2276923076923077,0.0021492755702123,0.3811522319725295,2.623623623623624,0.0173682217650835,17.0,11.0,1.5454545454545454,0.3928571428571429,0.6111111111111108,0.0112016293279022,0.2444444444444444,0.2448769193805561,0.8888888888888892
graph_09_mu_0_2_node_519,16,0.1583333333333333,0.001374056571226,0.3664710198092443,2.7287287287287287,0.0099676012027429,8.001,7.999,1.0002857142857142,0.4999375,0.4372931234542403,0.0081789220540115,0.3332799999999999,0.3335943025864534,0.4373131234542403
graph_09_mu_0_2_node_974,28,0.2584615384615384,0.0020059725389454,0.3848228043143297,2.5985985985985987,0.0229799419950167,18.0,10.0,1.8000000000000005,0.357142857142857,0.303030303030303,0.0103412616339193,0.2173913043478261,0.2177845097583324,0.5151515151515154
graph_09_mu_0_2_node_327,26,0.2644927536231884,0.0019714591709478,0.3755639097744361,2.6626626626626626,0.0183984725357624,16.0,10.0,1.6000000000000003,0.3846153846153847,0.5555555555555556,0.010183299389002,0.2380952380952381,0.2384883816712721,0.8333333333333335
graph_09_mu_0_2_node_198,20,0.2091503267973856,0.0012826697351538,0.3607800650054171,2.771771771771772,0.0101785891048415,12.189,7.811,1.568095238095238,0.39055,0.4332737709333829,0.0079816755298754,0.2428520499108734,0.2431590680243011,0.6053448972704378
graph_09_mu_0_2_node_277,14,0.2857142857142857,0.0006997038698435,0.352878841398799,2.833833833833834,0.0086273781465445,9.009,4.991,1.8067666666666675,0.3564999999999999,0.2731279817086188,0.0051030261135651,0.2169388405797102,0.2171349892929819,0.4920480331167896
graph_09_mu_0_2_node_948,15,0.2571428571428571,0.0008526447906011,0.3557692307692308,2.810810810810811,0.0049050975157961,9.001,5.999,1.5005,0.3999333333333334,0.3279631034602454,0.0061339327961635,0.2499499999999999,0.2501857541692035,0.4919990030164551
graph_09_mu_0_2_node_359,20,0.3263157894736842,0.0010371359997502,0.369589345172031,2.705705705705706,0.0135426360265673,14.0,6.0,2.333333333333333,0.2999999999999999,0.1818181818181818,0.0062047569803516,0.176470588235294,0.1767064743809145,0.4242424242424241
graph_09_mu_0_2_node_813,16,0.325,0.0010186601643721,0.3578080229226361,2.794794794794795,0.0075685679803362,11.0,5.0,2.2,0.3125,0.2733207021589002,0.005112484178494,0.1851851851851851,0.1853817183403285,0.6013055447495804
graph_09_mu_0_2_node_203,17,0.1691176470588235,0.0012970578269208,0.3648648648648648,2.740740740740741,0.0091538890193616,9.001,7.999,1.1253035714285715,0.470529411764706,0.2424522855181879,0.0082794758436313,0.3076438746438746,0.307958201931886,0.2727813212079615
graph_09_mu_0_2_node_226,19,0.3450292397660818,0.0011464959003559,0.3624818577648766,2.7587587587587588,0.0066100698831296,14.006,4.994,2.8057,0.2628421052631579,0.2731770118089532,0.0051062221961268,0.1513119429590017,0.1515082866913029,0.7654199172644327
graph_09_mu_0_2_node_600,17,0.1397058823529411,0.0015833123929161,0.3666055045871559,2.727727727727728,0.0086852481986701,8.002,8.998,0.8894285714285718,0.5292941176470588,0.2727413212079616,0.0093134892714536,0.3598992592592593,0.360252801424621,0.2424722855181879
graph_09_mu_0_2_node_921,20,0.1947368421052631,0.0018776194316693,0.367414490621552,2.7217217217217216,0.0105490941463712,10.366,9.634,1.0913333333333337,0.4817000000000001,0.5387495342544687,0.0098410639391559,0.3180752688172042,0.3184538583316107,0.554480766019928
graph_09_mu_0_2_node_467,17,0.2761904761904762,0.0011835923007711,0.3575518969219756,2.7967967967967966,0.0059888407429545,11.001,5.999,1.8338999999999996,0.3528823529411763,0.3279648425906802,0.0061339283826139,0.214243842364532,0.2144796335990909,0.5466614043178004
graph_09_mu_0_2_node_188,16,0.2,0.0012912263603942,0.3601297764960346,2.7767767767767766,0.0063194504759709,9.0,7.0,1.2857142857142858,0.4375,0.2121632498284145,0.0072454624158089,0.2800000000000001,0.2802750815420286,0.2727813212079615
