feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Eigenvector,120,-1.2518921084965958e-18,0.03836174463794193,0.35719,0.019309200000000002,-0.30578999999999995,0.35719,-0.008090000000000002,-0.0007099999999999983,0.0042749999999999915
Expansion,120,-3.787878787881067e-07,0.05918207880514957,0.34854,0.035670264141414144,-0.27956000000000003,0.34854,-0.020887500000000003,-0.0026500000000000004,0.009352499999999998
Clustering Coefficient,120,-2.350066368816695e-06,0.03211535547062825,0.3199318181818182,0.01524767438704814,-0.22758272727272727,0.3199318181818182,-0.006828898601398611,-0.0012162121212121206,0.001820555555555551
Shortest Path,120,-5.083877650127649e-05,0.020830652882571275,0.26023454545454544,0.011643553835470086,-0.09682156565656568,0.26023454545454544,-0.008353525252525255,-0.0033542424242424236,0.0015526767676767729
Triangle Participation,120,6.136363636370757e-07,0.02974036209422771,0.2082967676767677,0.017159568013468015,-0.09303,0.2082967676767677,-0.009279999999999984,-0.000719999999999995,0.005297499999999997
ODF,120,-5.883838383840638e-07,0.018027648357656335,0.15772,0.010567561363636362,-0.06219767676767678,0.15772,-0.008015,-0.0035168181818181848,0.0018050000000000017
Conductance,120,-2.196969696972312e-07,0.01956144227747221,0.14906999999999998,0.01165153106060606,-0.05487858585858587,0.14906999999999998,-0.009702500000000003,-0.003979999999999999,0.002192499999999988
Normalised Cut,120,-2.045454545454023e-07,0.018359991698917746,0.14321,0.011033884090909092,-0.0633960606060606,0.14321,-0.008642500000000001,-0.0038550000000000017,0.0021450000000000006
E Out,120,1.1703962472712353e-05,0.015511589887445065,0.12956001542901543,0.008759341470635845,-0.12956001542901543,0.09094760101010102,-0.003911982323232319,0.00019454545454545554,0.004176338383838379
Cut Ratio,120,-1.2070784187005282e-19,0.01429312449524352,0.12516000000000002,0.007750019107744107,-0.12516000000000002,0.09964000000000003,-0.003222500000000002,-8.500000000001024e-05,0.003745000000000002
Closeness,120,2.022814893439895e-05,0.013280880698189853,0.11906828282828283,0.007764136257793132,-0.07341305555555558,0.11906828282828283,-0.005458181818181822,-0.0008663636363636387,0.0020393181818181773
E In,120,-1.294549663299707e-05,0.01476854218600426,0.10674562626262626,0.00877107007936508,-0.10674562626262626,0.10626169191919192,-0.00495,-0.0013100000000000097,0.002991388888888887
Betweenness,120,-1.431146867680866e-19,0.013573756695673211,0.08481000000000001,0.008136566666666668,-0.07514000000000001,0.08481000000000001,-0.0037275000000000025,0.00017999999999999974,0.003965000000000001
Degree,120,0.000100669907414151,0.007039503319643278,0.06436912787212787,0.004190462679277685,-0.03447801975801976,0.06436912787212787,-0.002496769230769225,-0.0003739999999999999,0.0017587096445221481
E In Over E Out,120,-7.575757575281269e-09,0.009731408004594695,0.06282020202020204,0.006146776430976432,-0.052649999999999995,0.06282020202020204,-0.0032099999999999932,-8.99999999999998e-05,0.003592500000000012
