,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_0100_mu_0_3_node_615,30,0.1172413793103448,0.0012938602497478,0.4315334773218142,2.3173173173173174,0.0317547898660707,15.015,14.985,1.0024855144855145,0.4995,0.1962816475320019,0.0162325453090186,0.3329153624447003,0.3334226241652936,0.1964156765123552
graph_0100_mu_0_3_node_944,17,0.4044117647058823,0.0002114332973831,0.4111111111111111,2.4324324324324325,0.0352968439144751,14.003,2.997,4.675166666666666,0.1762941176470588,0.0225854802115152,0.003456922791384,0.0966713709677419,0.0967728575618156,0.1054827399890672
graph_0100_mu_0_3_node_824,22,0.0822510822510822,0.0010580805515398,0.41625,2.4024024024024024,0.0199647472892866,7.011,14.989,0.4679816849816851,0.6813181818181817,0.4164701344774029,0.0155679461130972,0.5167132369299222,0.5172203592294586,0.1944145698059763
graph_0100_mu_0_3_node_594,21,0.1238095238095238,0.0004716666026615,0.3951740506329114,2.5305305305305303,0.0174052885735362,14.98,6.02,2.49075,0.2866666666666666,0.0405188572211074,0.0070719753263305,0.167338596491228,0.1675424426638673,0.1008518774147657
graph_0100_mu_0_3_node_444,20,0.1684210526315789,0.0005561554073961,0.377123442808607,2.6516516516516515,0.0107804020365309,10.006,9.994,1.001579365079365,0.4997,0.3833870041104726,0.0102642269110477,0.3330857771260996,0.3334240295010999,0.3834527891791033
graph_0100_mu_0_3_node_88,28,0.156084656084656,0.0009724587823485,0.4146948941469489,2.411411411411412,0.0236061153550366,16.003,11.997,1.334012121212121,0.4284642857142857,0.2063178603324074,0.0127390204284226,0.2726436539306103,0.2730498363232576,0.2751501379501794
graph_0100_mu_0_3_node_477,25,0.1733333333333333,0.0011302813960414,0.4133223003723624,2.41941941941942,0.0224539391124471,13.011,11.989,1.085568181818182,0.4795600000000001,0.3409397068970448,0.012431260835846,0.3154251012145749,0.3158309305923143,0.3695674869460205
graph_0100_mu_0_3_node_859,30,0.0712643678160919,0.0012817526477883,0.4153846153846154,2.4074074074074074,0.0278211612411867,16.01,13.99,1.1446228771228768,0.4663333333333334,0.0943930049510085,0.0164266264699026,0.3040748598236704,0.3045484874353233,0.1079661315000624
graph_0100_mu_0_3_node_485,27,0.1082621082621082,0.0009407295027115,0.4199243379571248,2.3813813813813813,0.0284864471656146,12.024,14.976,0.8034831168831169,0.5546666666666666,0.1961842671194316,0.0162223704692494,0.3838140557117303,0.3843209102305431,0.1571264458267436
graph_0100_mu_0_3_node_813,53,0.16,0.0034751891916259,0.4389279437609842,2.2782782782782784,0.0315196905760248,32.01,20.99,1.5251378446115291,0.3960377358490566,0.5967642257464743,0.0217650831155853,0.2469154834347532,0.247626696097561,0.8811477237484715
graph_0100_mu_0_3_node_534,30,0.1333333333333333,0.001159595989096,0.4224101479915433,2.3673673673673674,0.0268627904929494,15.011,14.989,1.002,0.4996333333333333,0.1963059316743495,0.0162373808275965,0.3330333333333333,0.3335407302526781,0.1963911552908231
graph_0100_mu_0_3_node_400,17,0.1617647058823529,0.0002381619648879,0.4028225806451613,2.4824824824824825,0.0244625153425702,12.008,4.992,2.4068,0.2936470588235293,0.0376260351463464,0.0057578361450811,0.1721011494252874,0.1722701578977283,0.0904231977124639
graph_0100_mu_0_3_node_888,53,0.068235294117647,0.0035103243228011,0.45720823798627,2.187187187187188,0.0442342613230612,30.026,22.974,1.3075500989064928,0.4334716981132074,0.3009286950188654,0.0248866939875634,0.276727307782134,0.2775055878667828,0.3797696094316213
graph_0100_mu_0_3_node_693,32,0.1632183908045977,0.0013082017868821,0.4206315789473684,2.3773773773773774,0.0244551692114293,16.012,15.988,1.0016615384615384,0.499625,0.5885695414649176,0.0164462844620933,0.3330100040016006,0.3335512368273811,0.5520557289252623
graph_0100_mu_0_3_node_839,24,0.1195652173913043,0.0009229217915566,0.4039627982207844,2.475475475475476,0.0181276872230686,11.011,12.989,0.8482843822843824,0.5412083333333335,0.4782254598934986,0.0133612991447295,0.3710350262350264,0.3714746312969973,0.4048082700947536
graph_0100_mu_0_3_node_468,22,0.1125541125541125,0.0007708157289014,0.4039627982207844,2.475475475475476,0.0189812768504142,10.008,11.992,0.8348111111111112,0.5450909090909087,0.1550217135929755,0.0130015693100977,0.3746762605042016,0.3750821088906903,0.1292300215320473
graph_0100_mu_0_3_node_977,18,0.2679738562091503,0.0003659918258905,0.3908450704225352,2.558558558558558,0.0163150496791958,13.005,4.995,2.6045000000000003,0.2775,0.0645632117699445,0.0054158251451489,0.1611088709677419,0.1612779924179432,0.1679930919186022
graph_0100_mu_0_3_node_989,22,0.1168831168831168,0.0006399346548263,0.4145228215767635,2.4124124124124124,0.0210966883520328,13.001,8.999,1.4447499999999995,0.4090454545454546,0.1010065846920348,0.0098803854685501,0.2571079365079364,0.2574125846277974,0.1459044948130142
graph_0100_mu_0_3_node_764,26,0.1507692307692307,0.0011105276285554,0.4206315789473684,2.3773773773773774,0.0357790584116931,14.022,11.978,1.1716565656565656,0.4606923076923077,0.0902927938364663,0.0138150426765609,0.2993245604083947,0.2997300452267801,0.1055590278916869
graph_0100_mu_0_3_node_505,57,0.0695488721804511,0.0045468230277891,0.4701176470588235,2.127127127127128,0.0472965392008131,28.013,28.987,0.9665302147278008,0.508543859649123,0.195180847865065,0.0340493395348989,0.3409805246857571,0.3419621709702172,0.1885626229398397
graph_0100_mu_0_3_node_293,16,0.1583333333333333,0.0003070826758812,0.4042897612302711,2.4734734734734736,0.0241356288285041,7.008,8.992,0.7806666666666667,0.562,0.0677743182367421,0.0103710556259823,0.3908819875776397,0.3911862752318014,0.0527773846079061
graph_0100_mu_0_3_node_385,21,0.1571428571428571,0.0005211760278353,0.4117889530090684,2.4284284284284285,0.023122703619688,12.004,8.996,1.334583333333333,0.4283809523809524,0.0605736265100421,0.0105670367443474,0.2725796791443848,0.2728842051606697,0.0808055469443964
graph_0100_mu_0_3_node_601,25,0.09,0.0010275774975235,0.4254684838160136,2.3503503503503502,0.0273610445178053,11.008,13.992,0.7871413308913311,0.5596800000000003,0.0944092081441842,0.0164286648365102,0.3886088752423798,0.3890824101120288,0.0742334676366252
graph_0100_mu_0_3_node_868,37,0.1621621621621621,0.0019403003076421,0.4193954659949622,2.3843843843843846,0.0253159272866655,19.009,17.991,1.0567888888888888,0.4862432432432433,0.689998028946597,0.0184800819120437,0.3212269975786925,0.3218361191156731,0.7283913793592419
graph_0100_mu_0_3_node_548,26,0.0953846153846153,0.0013233099780363,0.4311609840310746,2.319319319319319,0.0289274623895471,7.024,18.976,0.3704434984520122,0.7298461538461536,1.34679753728718,0.0192630146058972,0.5746995670995673,0.5753414953019343,0.4965121641855688
graph_0100_mu_0_3_node_4,26,0.1292307692307692,0.00091233815682,0.4157303370786517,2.4054054054054053,0.0255123997589436,15.987,10.013,1.5971898989898994,0.3851153846153847,0.0674059958759639,0.0117623601414927,0.2384948275396375,0.238833859992441,0.1075895008734324
graph_0100_mu_0_3_node_348,16,0.1583333333333333,0.0003713693310957,0.3712374581939799,2.6936936936936937,0.0085805685352818,8.003,7.997,1.000952380952381,0.4998125,0.2221318262013149,0.0083064138278263,0.3331774358974358,0.3334480803379863,0.2221612021526087
graph_0100_mu_0_3_node_276,33,0.2121212121212121,0.0012688234307586,0.39800796812749,2.5125125125125125,0.0184631501412282,19.013,13.987,1.3601527472527477,0.4238484848484847,0.5366237793176468,0.0143663439732186,0.2689348434584284,0.2694084657500394,0.7284390627806504
graph_0100_mu_0_3_node_723,43,0.1395348837209302,0.0026525414772123,0.4351045296167247,2.2982982982982985,0.0304077417838389,25.005,17.995,1.3896266339869283,0.4184883720930231,0.3094580621470555,0.0191081712805219,0.2646152843746193,0.2652247887856778,0.4299392209297742
graph_0100_mu_0_3_node_618,58,0.0701754385964912,0.0040849562723159,0.4625,2.1621621621621623,0.0455992198881024,37.995,20.005,1.8997969187675063,0.3449137931034484,0.1346918259027928,0.0234991187199535,0.2084046384901648,0.2090827735149985,0.2557707580768885
graph_0100_mu_0_3_node_878,84,0.067750677506775,0.0089386262310782,0.4894659480646742,2.043043043043043,0.0669813550051559,53.032,30.968,1.71284680756396,0.3686666666666666,0.2085302956067128,0.0363759496433668,0.2259980250805225,0.2270484673850531,0.3502540566179731
graph_0100_mu_0_3_node_838,35,0.188235294117647,0.0015251856377535,0.4201009251471825,2.38038038038038,0.0238943625190552,21.018,13.982,1.5042587412587414,0.3994857142857144,0.5150022609367467,0.0143810247240546,0.2496206512042819,0.2500941685272733,0.7727631789140383
graph_0100_mu_0_3_node_305,23,0.0988142292490118,0.0009069403098433,0.4387351778656126,2.279279279279279,0.027805436752301,12.001,10.999,1.0911181818181812,0.4782173913043479,0.0740515381144708,0.0129203022034052,0.3142492063492062,0.3146215111596715,0.080788099116822
graph_0100_mu_0_3_node_504,37,0.1277310924369747,0.0015223628691948,0.4126394052044609,2.4234234234234235,0.0257228984406876,21.003,15.997,1.3129625,0.4323513513513513,0.2750918465840889,0.0169865858486202,0.2757971946230275,0.2763389150623123,0.3439384369220943
graph_0100_mu_0_3_node_630,28,0.1031746031746031,0.000871815549256,0.399919935948759,2.5005005005005003,0.0198178852312747,17.004,10.996,1.5465858585858587,0.3927142857142858,0.1421119648181657,0.0119225578466304,0.2443385342789598,0.2447108636616052,0.2197193100834389
graph_0100_mu_0_3_node_885,32,0.1172413793103448,0.0009900291034923,0.4112803622890078,2.431431431431432,0.0266988683731412,20.014,11.986,1.6714943722943727,0.3745625,0.1570179773447769,0.012983470612908,0.2304612781752802,0.2308671983657193,0.2487829349237824
graph_0100_mu_0_3_node_466,18,0.2287581699346405,0.0003592969584246,0.4029850746268656,2.4814814814814814,0.0217154218795268,10.015,7.985,1.2593214285714285,0.4436111111111112,0.1046539830670486,0.0086482997116189,0.2851089117778772,0.2853791868319074,0.1309498707851566
