,Stability
graph_09_mu_0_4_node_854,0
graph_09_mu_0_4_node_357,1
graph_09_mu_0_4_node_636,0
graph_09_mu_0_4_node_394,0
graph_09_mu_0_4_node_21,1
graph_09_mu_0_4_node_445,1
graph_09_mu_0_4_node_513,0
graph_09_mu_0_4_node_978,0
graph_09_mu_0_4_node_501,1
graph_09_mu_0_4_node_489,1
graph_09_mu_0_4_node_631,0
graph_09_mu_0_4_node_828,1
graph_09_mu_0_4_node_20,1
graph_09_mu_0_4_node_774,0
graph_09_mu_0_4_node_151,0
graph_09_mu_0_4_node_215,0
graph_09_mu_0_4_node_339,1
graph_09_mu_0_4_node_541,0
graph_09_mu_0_4_node_366,0
graph_09_mu_0_4_node_119,1
graph_09_mu_0_4_node_77,0
graph_09_mu_0_4_node_23,1
graph_09_mu_0_4_node_13,1
graph_09_mu_0_4_node_918,1
graph_09_mu_0_4_node_440,0
graph_09_mu_0_4_node_849,0
graph_09_mu_0_4_node_241,0
graph_09_mu_0_4_node_758,0
graph_09_mu_0_4_node_359,0
graph_09_mu_0_4_node_187,0
graph_09_mu_0_4_node_915,1
graph_09_mu_0_4_node_268,0
graph_09_mu_0_4_node_556,0
graph_09_mu_0_4_node_904,0
graph_09_mu_0_4_node_388,0
graph_09_mu_0_4_node_453,0
graph_09_mu_0_4_node_401,0
graph_09_mu_0_4_node_344,1
graph_09_mu_0_4_node_124,1
graph_09_mu_0_4_node_520,0
graph_09_mu_0_4_node_251,0
graph_09_mu_0_4_node_713,0
graph_09_mu_0_4_node_166,0
graph_09_mu_0_4_node_428,1
graph_09_mu_0_4_node_529,0
graph_09_mu_0_4_node_364,0
graph_09_mu_0_4_node_250,0
graph_09_mu_0_4_node_434,0
graph_09_mu_0_4_node_967,1
graph_09_mu_0_4_node_231,0
graph_09_mu_0_4_node_497,0
graph_09_mu_0_4_node_838,0
graph_09_mu_0_4_node_55,0
graph_09_mu_0_4_node_921,0
graph_09_mu_0_4_node_216,1
graph_09_mu_0_4_node_860,0
