,Entropy
graph_089_mu_0_3_node_0,0.4349835
graph_089_mu_0_3_node_1,0.42118075
graph_089_mu_0_3_node_2,0.34782788
graph_089_mu_0_3_node_3,0.42983124
graph_089_mu_0_3_node_4,0.4349835
graph_089_mu_0_3_node_5,0.42983124
graph_089_mu_0_3_node_6,0.34567523
graph_089_mu_0_3_node_7,0.39858893
graph_089_mu_0_3_node_8,0.42860314
graph_089_mu_0_3_node_9,0.34782788
graph_089_mu_0_3_node_10,0.42136952
graph_089_mu_0_3_node_11,0.40390006
graph_089_mu_0_3_node_12,0.45016083
graph_089_mu_0_3_node_13,0.40425617
graph_089_mu_0_3_node_14,0.4349835
graph_089_mu_0_3_node_15,0.42195916
graph_089_mu_0_3_node_16,0.38800925
graph_089_mu_0_3_node_17,0.45207843
graph_089_mu_0_3_node_18,0.34782788
graph_089_mu_0_3_node_19,0.45016083
graph_089_mu_0_3_node_20,0.38754106
graph_089_mu_0_3_node_21,0.42983124
graph_089_mu_0_3_node_22,0.44503656
graph_089_mu_0_3_node_23,0.38800925
graph_089_mu_0_3_node_24,0.4452512
graph_089_mu_0_3_node_25,0.4490446
graph_089_mu_0_3_node_26,0.34782788
graph_089_mu_0_3_node_27,0.4652457
graph_089_mu_0_3_node_28,0.42195916
graph_089_mu_0_3_node_29,0.44272503
graph_089_mu_0_3_node_30,0.42983124
graph_089_mu_0_3_node_31,0.45898846
graph_089_mu_0_3_node_32,0.38800925
graph_089_mu_0_3_node_33,0.42150635
graph_089_mu_0_3_node_34,0.42195916
graph_089_mu_0_3_node_35,0.3859032
graph_089_mu_0_3_node_36,0.3459856
graph_089_mu_0_3_node_37,0.35087696
graph_089_mu_0_3_node_38,0.45898846
graph_089_mu_0_3_node_39,0.42195916
graph_089_mu_0_3_node_40,0.42180517
graph_089_mu_0_3_node_41,0.45898846
graph_089_mu_0_3_node_42,0.45016083
graph_089_mu_0_3_node_43,0.398956
graph_089_mu_0_3_node_44,0.34782788
graph_089_mu_0_3_node_45,0.45016083
graph_089_mu_0_3_node_46,0.44193265
graph_089_mu_0_3_node_47,0.34782788
graph_089_mu_0_3_node_48,0.45898846
graph_089_mu_0_3_node_49,0.4489237
graph_089_mu_0_3_node_50,0.42970246
graph_089_mu_0_3_node_51,0.39051178
graph_089_mu_0_3_node_52,0.4489237
graph_089_mu_0_3_node_53,0.4488876
graph_089_mu_0_3_node_54,0.38800925
graph_089_mu_0_3_node_55,0.47045985
graph_089_mu_0_3_node_56,0.39588374
graph_089_mu_0_3_node_57,0.45016083
graph_089_mu_0_3_node_58,0.34782788
graph_089_mu_0_3_node_59,0.40140074
graph_089_mu_0_3_node_60,0.45898846
graph_089_mu_0_3_node_61,0.43495837
graph_089_mu_0_3_node_62,0.44770417
graph_089_mu_0_3_node_63,0.42983124
graph_089_mu_0_3_node_64,0.45016083
graph_089_mu_0_3_node_65,0.36172712
graph_089_mu_0_3_node_66,0.36365637
graph_089_mu_0_3_node_67,0.45898846
graph_089_mu_0_3_node_68,0.45016083
graph_089_mu_0_3_node_69,0.46509802
graph_089_mu_0_3_node_70,0.42983124
graph_089_mu_0_3_node_71,0.42983124
graph_089_mu_0_3_node_72,0.4652457
graph_089_mu_0_3_node_73,0.4490446
graph_089_mu_0_3_node_74,0.45016083
graph_089_mu_0_3_node_75,0.4498871
graph_089_mu_0_3_node_76,0.4483886
graph_089_mu_0_3_node_77,0.45016083
graph_089_mu_0_3_node_78,0.42195916
graph_089_mu_0_3_node_79,0.34782788
graph_089_mu_0_3_node_80,0.39667034
graph_089_mu_0_3_node_81,0.47045985
graph_089_mu_0_3_node_82,0.4706263
graph_089_mu_0_3_node_83,0.4706263
graph_089_mu_0_3_node_84,0.46509802
graph_089_mu_0_3_node_85,0.40537426
graph_089_mu_0_3_node_86,0.42195916
graph_089_mu_0_3_node_87,0.42983124
graph_089_mu_0_3_node_88,0.34782788
graph_089_mu_0_3_node_89,0.4281836
graph_089_mu_0_3_node_90,0.4025108
graph_089_mu_0_3_node_91,0.3759765
graph_089_mu_0_3_node_92,0.398268
graph_089_mu_0_3_node_93,0.4706263
graph_089_mu_0_3_node_94,0.42965403
graph_089_mu_0_3_node_95,0.44272503
graph_089_mu_0_3_node_96,0.39853594
graph_089_mu_0_3_node_97,0.46828276
graph_089_mu_0_3_node_98,0.42983124
graph_089_mu_0_3_node_99,0.398968
