,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_072_mu_0_3_node_0,36,0.19073083778966132,0.0015918092540561032,0.42893945899527697,2.3313313313313313,0.019286101799244646,30.935,5.065,14.70400452194864,0.14069444444444446,0.11648264286532221,0.015212598695486005,0.08412803255525675,0.08429692392767148,0.1657112578929393
graph_072_mu_0_3_node_1,29,0.2044334975369458,0.0008214622523690722,0.41555740432612315,2.4064064064064064,0.023182080706555197,20.583,8.417,7.752257034632034,0.2902413793103449,0.07302154297901109,0.009675328295455688,0.17866432066233948,0.17894486262911308,0.1254934638337988
graph_072_mu_0_3_node_2,25,0.09,0.0009507503572681923,0.4276541095890411,2.3383383383383385,0.01825806248055299,21.841,3.159,10.863402781042488,0.12636000000000003,0.0060789974505549476,0.014045657810987756,0.07134534544611784,0.0714506649967378,0.021561928835236648
graph_072_mu_0_3_node_3,31,0.18924731182795698,0.0013476912435115124,0.42027766091712243,2.3793793793793796,0.02084675480135298,28.25,2.75,24.867701291274084,0.08870967741935484,0.11461976623716019,0.0033187105340370063,0.05885359453666316,0.058945227270358676,0.13184253746367414
graph_072_mu_0_3_node_4,24,0.25,0.0005634182123409374,0.38261202604366146,2.6136136136136137,0.008928489935400298,20.441,3.559,9.68511515151515,0.14829166666666668,0.06810368570139949,0.01376026438577258,0.08548178072505834,0.08560042038237431,0.12268362973881293
graph_072_mu_0_3_node_5,21,0.18128654970760233,0.00042184596716577467,0.38115223197252956,2.6236236236236237,0.010304801819468393,19.221,1.779,16.50903939393939,0.08471428571428573,0.028146723158661124,0.006203482117244799,0.048831714695638635,0.048891012014945556,0.04164256851342649
graph_072_mu_0_3_node_6,16,0.13333333333333333,0.00037244841405573127,0.408923454768727,2.4454454454454453,0.01656777421389202,14.776,1.224,13.040599999999998,0.0765,0.001976231953051376,0.00546913431229083,0.0420087488738202,0.04204954352346017,0.01697318767702901
graph_072_mu_0_3_node_7,24,0.22510822510822512,0.0006746001462826661,0.39627132090440303,2.5235235235235236,0.012131508183974432,21.809,2.191,19.54065714285714,0.09129166666666669,0.07066213324775382,0.005780698883599339,0.05417924563738585,0.05425227511486546,0.1129386187395302
graph_072_mu_0_3_node_8,23,0.22924901185770752,0.0005742639264774862,0.40396279822078446,2.4754754754754753,0.014169781162689174,19.507,3.493,9.266597655122654,0.15186956521739128,0.07219638499603952,0.014155484740914414,0.08807373335398233,0.08819016594982461,0.11140436699124454
graph_072_mu_0_3_node_9,19,0.07017543859649122,0.000570665866027671,0.4016887816646562,2.4894894894894897,0.013770122476935806,16.368,2.632,8.373345923520922,0.13852631578947366,0.003857503217958553,0.012790881288279682,0.07752021859501658,0.07760794656256362,0.015986001746227316
graph_072_mu_0_3_node_10,29,0.2315270935960591,0.0007026650353810208,0.4122988031366075,2.4254254254254253,0.019508813152161932,22.437,6.563,12.37094329004329,0.22631034482758622,0.1282180267853542,0.00841884296909917,0.13792004523866117,0.13813880393500905,0.23158514685729312
graph_072_mu_0_3_node_11,27,0.17663817663817663,0.0010445738600377828,0.41625,2.4024024024024024,0.017756568432313977,26.067,0.933,22.350839285714287,0.034555555555555555,0.0017185940813988845,0.002274876665346528,0.018890078596023912,0.01892119144569158,0.03034509033085645
graph_072_mu_0_3_node_12,19,0.08088235294117647,0.00048158199181147433,0.3870592793490895,2.5835835835835836,0.010836827722244414,17.765,1.235,13.803871428571428,0.065,0.0019478241404333025,0.005053604918775333,0.035139080217630736,0.035180249358205,0.020919594424067385
graph_072_mu_0_3_node_13,38,0.1934566145092461,0.0013646344797521276,0.4569990850869167,2.1881881881881884,0.053067902959467186,34.37,3.63,18.844516944166944,0.09552631578947367,0.005806890897583516,0.015214545696191737,0.05233051942841034,0.05245163446180802,0.04234826047065365
graph_072_mu_0_3_node_14,24,0.2536231884057971,0.0007706684113086182,0.3863109048723898,2.5885885885885886,0.0076247019839750015,22.084,1.916,18.931810389610387,0.07983333333333333,0.06706540842128665,0.0023215355512886007,0.048711145605712415,0.04877499974699985,0.12942377483585016
graph_072_mu_0_3_node_15,55,0.15021770682148042,0.0029604352205405567,0.4526506570004531,2.209209209209209,0.035037879038573194,39.529,15.471,15.226489648754235,0.28129090909090904,0.2972928535062398,0.022050068914250893,0.17956712815410514,0.1800830178801899,0.3742921594524985
graph_072_mu_0_3_node_16,62,0.12321523003701745,0.003964041202978452,0.4580467675378267,2.1831831831831834,0.0389125213046033,43.924,18.076,15.058838598753589,0.29154838709677416,0.15777888999406736,0.020717554474284527,0.17987075763584723,0.18047380530332788,0.26753839798408685
