,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_0100_mu_0_2_node_53,18,0.3083333333333333,0.0008111054233568,0.3602596465921385,2.775775775775776,0.0077612473534094,13.0,5.0,2.6027000000000005,0.2777777777777777,0.2874319356674451,0.0050929949140154,0.1613321960297767,0.1615208965093346,0.6880118120664506
graph_0100_mu_0_2_node_560,23,0.2761904761904762,0.0011434102280626,0.3818807339449541,2.6186186186186187,0.0218951666971233,14.016,8.984,1.5606666666666669,0.3906086956521739,0.2724401771375373,0.0092973066165872,0.242719772403983,0.2430588046124721,0.3942405210943662
graph_0100_mu_0_2_node_675,22,0.2894736842105263,0.0010753982835501,0.3672794117647059,2.722722722722722,0.0149280643507461,14.01,7.99,1.7543214285714284,0.3631818181818181,0.3901190213185321,0.0081641084308801,0.2218971076339498,0.222198640098555,0.6343392399511446
graph_0100_mu_0_2_node_359,20,0.2941176470588235,0.0010632404945515,0.3631406761177753,2.7537537537537538,0.0091456437184205,13.002,6.998,1.8580952380952385,0.3498999999999999,0.3238043218633677,0.0071636261626378,0.2120499108734402,0.2123139963619001,0.5552157647037786
graph_0100_mu_0_2_node_493,31,0.3247311827956989,0.0017032326372948,0.3936170212765957,2.5405405405405403,0.0495929334027114,22.011,8.989,2.4502138888888885,0.2899677419354839,0.1749136574026448,0.0094880962874173,0.1695775865239619,0.169917012140812,0.4279397140023333
graph_0100_mu_0_2_node_191,19,0.2573529411764705,0.0009374628693668,0.3635371179039301,2.750750750750751,0.0104421287305465,12.01,6.99,1.721124891774892,0.3678947368421051,0.3954974265325519,0.0071865475742264,0.2255006052042341,0.2257643688617182,0.6190376367418394
graph_0100_mu_0_2_node_924,36,0.2834224598930481,0.0024521209768099,0.3906922174423152,2.55955955955956,0.0232756160213092,26.061,9.939,2.6247000000000007,0.2760833333333332,0.3426011148579951,0.0102481595627789,0.1601676267281105,0.1605430256378782,0.8607358973204795
graph_0100_mu_0_2_node_305,40,0.2923076923076923,0.0027822775471791,0.396271320904403,2.523523523523524,0.032035355670207,30.02,9.98,3.009,0.2495,0.2508234252636057,0.0103986838714707,0.1425356583948133,0.1429127182473824,0.7537749687319029
graph_0100_mu_0_2_node_33,25,0.39,0.0013054234663923,0.3724832214765101,2.684684684684685,0.015779732951266,18.003,6.997,2.5732142857142857,0.2798800000000001,0.2752159858615945,0.0071848951613171,0.1627114164904862,0.1629755639493867,0.707880225727881
graph_0100_mu_0_2_node_615,38,0.2857142857142857,0.0029994572462456,0.4013660104459622,2.4914914914914914,0.0542307376819461,25.101,12.899,1.9492561771561772,0.3394473684210526,0.2851596018103914,0.0135251852099948,0.2044656829281829,0.2049527917760425,0.5309831124810673
graph_0100_mu_0_2_node_38,36,0.2210338680926916,0.0028977264576183,0.3959571938168846,2.5255255255255253,0.0298577306313982,25.015,10.985,2.277636363636364,0.3051388888888888,0.2760050791697213,0.0114461354431278,0.1800423056583817,0.1804571633568042,0.6030185155763482
graph_0100_mu_0_2_node_464,21,0.2573099415204678,0.0012891800654822,0.3716517857142857,2.690690690690691,0.0125412861017923,14.005,6.995,2.00375,0.333095238095238,0.4020456087985788,0.0071250994621618,0.1998666666666666,0.2001306588168954,0.7455352708883577
graph_0100_mu_0_2_node_371,24,0.2971014492753623,0.0013892216620712,0.3785524820007578,2.641641641641641,0.0185776736376222,17.023,6.977,2.441942857142857,0.2907083333333333,0.150984957874296,0.0073196673533402,0.170091888825865,0.1703552618734407,0.3677355002241422
graph_0100_mu_0_2_node_858,24,0.329004329004329,0.0014496512315602,0.3727611940298507,2.6826826826826826,0.0116257241881412,16.017,7.983,2.007571428571429,0.3326249999999999,0.4588555138458651,0.0081313090408043,0.1995052264808362,0.1998065404773486,0.8611975795694707
graph_0100_mu_0_2_node_121,23,0.2213438735177865,0.0019283397995586,0.378839590443686,2.63963963963964,0.0148385792375576,13.024,9.976,1.3061972222222225,0.4337391304347827,0.3714492621371751,0.0102631393482001,0.2769507665560297,0.2773271918910058,0.4839208956631551
graph_0100_mu_0_2_node_231,18,0.1830065359477124,0.0010172120468153,0.3729003359462486,2.681681681681681,0.013917106613596,11.016,6.984,1.5782857142857147,0.3880000000000001,0.1510698911047923,0.0073272787261785,0.2407172413793102,0.2409807591270342,0.2379234515690957
graph_0100_mu_0_2_node_790,19,0.2456140350877192,0.000951007737174,0.3720670391061452,2.687687687687688,0.0158951252907119,11.183,7.817,1.455893253968254,0.4114210526315788,0.4510633017818594,0.0079831995847153,0.2595338052381434,0.2598287461361513,0.6265218398209891
