,Stability
graph_09_mu_0_2_node_127,0
graph_09_mu_0_2_node_25,1
graph_09_mu_0_2_node_832,0
graph_09_mu_0_2_node_996,0
graph_09_mu_0_2_node_215,1
graph_09_mu_0_2_node_780,1
graph_09_mu_0_2_node_355,0
graph_09_mu_0_2_node_645,1
graph_09_mu_0_2_node_945,0
graph_09_mu_0_2_node_203,1
graph_09_mu_0_2_node_612,1
graph_09_mu_0_2_node_200,0
graph_09_mu_0_2_node_78,0
graph_09_mu_0_2_node_685,1
graph_09_mu_0_2_node_56,0
graph_09_mu_0_2_node_824,0
graph_09_mu_0_2_node_306,0
graph_09_mu_0_2_node_187,0
graph_09_mu_0_2_node_768,1
graph_09_mu_0_2_node_687,1
graph_09_mu_0_2_node_662,0
graph_09_mu_0_2_node_973,0
graph_09_mu_0_2_node_211,0
graph_09_mu_0_2_node_157,0
graph_09_mu_0_2_node_997,1
graph_09_mu_0_2_node_592,1
graph_09_mu_0_2_node_337,0
graph_09_mu_0_2_node_488,0
graph_09_mu_0_2_node_412,0
graph_09_mu_0_2_node_462,0
graph_09_mu_0_2_node_423,0
graph_09_mu_0_2_node_195,1
graph_09_mu_0_2_node_380,0
graph_09_mu_0_2_node_98,1
graph_09_mu_0_2_node_154,1
graph_09_mu_0_2_node_308,0
graph_09_mu_0_2_node_430,1
graph_09_mu_0_2_node_461,0
graph_09_mu_0_2_node_170,1
graph_09_mu_0_2_node_670,0
graph_09_mu_0_2_node_696,0
graph_09_mu_0_2_node_424,0
graph_09_mu_0_2_node_848,1
graph_09_mu_0_2_node_939,1
graph_09_mu_0_2_node_785,0
graph_09_mu_0_2_node_633,1
graph_09_mu_0_2_node_7,1
graph_09_mu_0_2_node_547,1
graph_09_mu_0_2_node_397,0
graph_09_mu_0_2_node_437,0
graph_09_mu_0_2_node_987,1
graph_09_mu_0_2_node_278,1
graph_09_mu_0_2_node_344,1
graph_09_mu_0_2_node_428,1
graph_09_mu_0_2_node_137,0
graph_09_mu_0_2_node_889,0
graph_09_mu_0_2_node_189,0
graph_09_mu_0_2_node_904,0
graph_09_mu_0_2_node_18,1
graph_09_mu_0_2_node_446,0
graph_09_mu_0_2_node_815,0
graph_09_mu_0_2_node_550,0
graph_09_mu_0_2_node_784,1
graph_09_mu_0_2_node_389,1
graph_09_mu_0_2_node_672,1
graph_09_mu_0_2_node_580,0
graph_09_mu_0_2_node_982,1
graph_09_mu_0_2_node_875,0
graph_09_mu_0_2_node_841,1
graph_09_mu_0_2_node_990,1
graph_09_mu_0_2_node_183,0
graph_09_mu_0_2_node_989,0
graph_09_mu_0_2_node_797,0
graph_09_mu_0_2_node_977,0
graph_09_mu_0_2_node_726,1
graph_09_mu_0_2_node_178,1
graph_09_mu_0_2_node_794,0
graph_09_mu_0_2_node_134,1
graph_09_mu_0_2_node_406,0
graph_09_mu_0_2_node_266,0
graph_09_mu_0_2_node_396,0
graph_09_mu_0_2_node_359,0
graph_09_mu_0_2_node_679,0
graph_09_mu_0_2_node_993,0
graph_09_mu_0_2_node_800,1
graph_09_mu_0_2_node_32,0
graph_09_mu_0_2_node_642,1
graph_09_mu_0_2_node_401,0
graph_09_mu_0_2_node_249,0
graph_09_mu_0_2_node_681,0
graph_09_mu_0_2_node_965,0
graph_09_mu_0_2_node_217,0
graph_09_mu_0_2_node_212,1
graph_09_mu_0_2_node_888,1
graph_09_mu_0_2_node_598,0
graph_09_mu_0_2_node_304,0
graph_09_mu_0_2_node_706,0
graph_09_mu_0_2_node_140,0
graph_09_mu_0_2_node_399,0
graph_09_mu_0_2_node_258,0
graph_09_mu_0_2_node_214,1
graph_09_mu_0_2_node_192,1
graph_09_mu_0_2_node_361,0
graph_09_mu_0_2_node_476,0
graph_09_mu_0_2_node_264,0
graph_09_mu_0_2_node_273,0
graph_09_mu_0_2_node_793,1
graph_09_mu_0_2_node_447,1
graph_09_mu_0_2_node_26,0
graph_09_mu_0_2_node_190,1
graph_09_mu_0_2_node_534,0
graph_09_mu_0_2_node_422,1
graph_09_mu_0_2_node_783,1
graph_09_mu_0_2_node_755,1
graph_09_mu_0_2_node_834,1
graph_09_mu_0_2_node_991,1
graph_09_mu_0_2_node_657,0
graph_09_mu_0_2_node_13,0
graph_09_mu_0_2_node_597,0
graph_09_mu_0_2_node_711,0
graph_09_mu_0_2_node_757,0
graph_09_mu_0_2_node_581,0
graph_09_mu_0_2_node_557,0
graph_09_mu_0_2_node_844,0
graph_09_mu_0_2_node_162,0
graph_09_mu_0_2_node_739,0
graph_09_mu_0_2_node_976,1
graph_09_mu_0_2_node_185,0
graph_09_mu_0_2_node_427,0
graph_09_mu_0_2_node_554,1
graph_09_mu_0_2_node_589,1
graph_09_mu_0_2_node_500,0
graph_09_mu_0_2_node_835,1
graph_09_mu_0_2_node_99,1
graph_09_mu_0_2_node_958,1
graph_09_mu_0_2_node_907,1
graph_09_mu_0_2_node_941,0
