feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Eigenvector,120,-8.0953762212251e-20,0.07471139277803174,0.46052,0.04526198333333333,-0.4292299999999999,0.46052,-0.0203725,0.003520000000000001,0.0224325
Expansion,120,3.23815048849004e-19,0.11883926554033673,0.39281999999999995,0.0965583,-0.39281999999999995,0.34182999999999997,-0.07946500000000002,0.012550000000000016,0.08242000000000002
Triangle Participation,120,0.0,0.1015038584447245,0.36916,0.07911460833333334,-0.36916,0.35317,-0.06195,0.007794999999999998,0.06732749999999998
Cut Ratio,120,-4.972873964466847e-19,0.036972683993276266,0.25093,0.024478483333333335,-0.25093,0.1912,-0.014499999999999999,0.0012099999999999995,0.016532499999999995
Clustering Coefficient,120,-2.797092698967754e-05,0.04831126826896744,0.24839454545454548,0.03301486395084082,-0.2358010101010101,0.24839454545454548,-0.020948939393939395,0.002803636363636364,0.0215765909090909
E Out,120,-5.082070707070827e-06,0.03275757095108786,0.19687000000000002,0.023310419865319863,-0.15875,0.19687000000000002,-0.01764909090909091,0.000524090909090907,0.015877500000000003
E In Over E Out,120,-3.126116263999871e-19,0.017671344883737627,0.19532000000000002,0.009611775000000001,-0.19532000000000002,0.10562000000000002,-0.004365,0.0002749999999999959,0.005009999999999997
ODF,120,-3.787878787882455e-07,0.04114026888733831,0.19066999999999998,0.027095201515151515,-0.18567000000000003,0.19066999999999998,-0.015149999999999995,0.0016749999999999968,0.016357499999999997
Conductance,120,1.9660199394403813e-19,0.023654168237331873,0.18388,0.0163703,-0.08751,0.18388,-0.012040000000000006,0.00020999999999999808,0.01075
Normalised Cut,120,1.9081958235744878e-19,0.02256036899447052,0.17414999999999997,0.015495816666666667,-0.08153999999999999,0.17414999999999997,-0.0108625,0.0006249999999999995,0.010147500000000005
Shortest Path,120,-2.3407256863506933e-05,0.016759123209942377,0.15668074747474744,0.010922963228253228,-0.10752676767676765,0.15668074747474744,-0.00605434613997114,0.0005100000000000026,0.0073957575757575755
Closeness,120,2.7770881895882056e-05,0.01797284415109259,0.14218444444444442,0.011071074863192362,-0.14218444444444442,0.10112507492507491,-0.005053901515151513,0.0007959595959595953,0.007731111111111115
Betweenness,120,-2.8912057932946783e-19,0.0173154246025521,0.11465,0.011745183333333332,-0.11465,0.08210999999999999,-0.007402499999999996,-5.499999999999834e-05,0.007459999999999996
E In,120,2.166666666666749e-06,0.01212511285329925,0.08484636363636364,0.007533638804713805,-0.07789000000000001,0.08484636363636364,-0.004269469696969696,0.0002796464646464658,0.004129999999999998
Degree,120,-1.1569602699810961e-05,0.010124528196352274,0.07318284722733409,0.0062840096232563815,-0.06528249295149297,0.07318284722733409,-0.0031658464660339687,0.0004171857386894133,0.003627795905333056
