TOP 10 FEATURES BY ALE IMPORTANCE
========================================

                   feature  max_abs_effect  mean_effect  n_graphs
9              Eigenvector        0.373626     0.000091       120
14  Triangle Participation        0.349640    -0.000132       120
10               Expansion        0.329254    -0.000187       120
4                Cut Ratio        0.299394     0.000040       120
2   Clustering Coefficient        0.243653    -0.000097       120
12                     ODF        0.171385    -0.000031       120
8                    E Out        0.170133    -0.000024       120
7          E In Over E Out        0.158548     0.000009       120
6                     E In        0.124897     0.000012       120
3              Conductance        0.124375    -0.000032       120
