,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_03_mu_0_3_node_398,20,0.1684210526315789,0.0006538720980901,0.4377738825591586,2.284284284284284,0.0274181115757695,15.293,4.707,11.617170274170276,0.23535,0.02823715268573,0.0063756500206029,0.1635297166810613,0.1636844636964983,0.0299452146767315
graph_03_mu_0_3_node_76,47,0.1128584643848288,0.0025528190450404,0.439894319682959,2.273273273273273,0.0266019078243574,38.253,8.747,26.95167841721799,0.1861063829787234,0.1237494598645774,0.0106791291296696,0.1202119321507717,0.1204997272172482,0.1599561462608044
graph_03_mu_0_3_node_890,58,0.1076830006049606,0.0031236217357254,0.4698965192850423,2.1281281281281283,0.0528863960047916,49.619,8.381,33.29891428445265,0.1445,0.0518352717139023,0.0111000924239005,0.0870185239471738,0.0872945161750304,0.1252928656509558
graph_03_mu_0_3_node_754,22,0.1428571428571428,0.0005842841798804,0.4206315789473684,2.3773773773773774,0.0275690411890385,18.935,3.065,13.26640476190476,0.1393181818181818,0.0097743872426001,0.0047867365940314,0.0830901727045501,0.0831909908875683,0.0304754514743762
graph_03_mu_0_3_node_368,18,0.1699346405228758,0.000313772844339,0.4070904645476773,2.4564564564564564,0.0209436176967827,14.669,3.331,10.770742857142857,0.1850555555555555,0.0209584754001586,0.0043333761029131,0.1192044617654151,0.1193139910729067,0.0314612873501053
graph_03_mu_0_3_node_80,25,0.2569169960474308,0.0008318704638819,0.4020120724346076,2.4874874874874875,0.0156984968581702,21.166,3.834,14.942426517926515,0.15336,0.1774222351118833,0.0048791617907819,0.0948060001091474,0.0949321089154941,0.2271649304134645
graph_03_mu_0_3_node_982,32,0.225287356321839,0.0011276234142056,0.4107730263157895,2.434434434434434,0.0190428705685779,26.148,5.852,18.517731890331888,0.182875,0.2765961599611327,0.0063739017864341,0.1161118580354903,0.116304353783243,0.3543640794701994
graph_03_mu_0_3_node_577,29,0.1168091168091168,0.0009262888432386,0.4169449081803005,2.3983983983983985,0.0185615499221608,25.095,3.905,17.573049588646644,0.1346551724137931,0.0428469051104456,0.0057242639932472,0.0821805956916061,0.0823090635019801,0.0707147008616029
graph_03_mu_0_3_node_541,22,0.0995670995670995,0.0005951848558299,0.4167709637046308,2.3993993993994,0.0178574539230573,17.499,4.501,13.057460195360196,0.204590909090909,0.0612415209225285,0.0055855222504556,0.1375859309339079,0.1377339244893334,0.0624132324304626
graph_03_mu_0_3_node_28,44,0.1091753774680604,0.0020820974865835,0.4216969185310257,2.3713713713713718,0.0210429390423211,36.7,7.3,25.572571750440872,0.1659090909090909,0.1388846285495911,0.0088342343547239,0.1044557252757399,0.1046959372137878,0.1969534475135928
