,Stability
graph_091_mu_0_3_node_75,0
graph_091_mu_0_3_node_190,1
graph_091_mu_0_3_node_231,0
graph_091_mu_0_3_node_519,1
graph_091_mu_0_3_node_297,0
graph_091_mu_0_3_node_596,0
graph_091_mu_0_3_node_760,0
graph_091_mu_0_3_node_523,1
graph_091_mu_0_3_node_876,0
graph_091_mu_0_3_node_16,1
graph_091_mu_0_3_node_791,0
graph_091_mu_0_3_node_295,1
graph_091_mu_0_3_node_422,1
graph_091_mu_0_3_node_935,0
graph_091_mu_0_3_node_819,0
graph_091_mu_0_3_node_593,0
graph_091_mu_0_3_node_968,1
graph_091_mu_0_3_node_996,1
graph_091_mu_0_3_node_853,0
graph_091_mu_0_3_node_509,0
graph_091_mu_0_3_node_33,0
graph_091_mu_0_3_node_721,0
graph_091_mu_0_3_node_916,0
graph_091_mu_0_3_node_804,0
graph_091_mu_0_3_node_700,1
graph_091_mu_0_3_node_589,1
graph_091_mu_0_3_node_807,0
graph_091_mu_0_3_node_304,1
graph_091_mu_0_3_node_222,1
graph_091_mu_0_3_node_694,1
graph_091_mu_0_3_node_575,1
graph_091_mu_0_3_node_286,1
graph_091_mu_0_3_node_208,1
graph_091_mu_0_3_node_497,1
graph_091_mu_0_3_node_401,0
graph_091_mu_0_3_node_576,0
graph_091_mu_0_3_node_235,0
graph_091_mu_0_3_node_781,0
graph_091_mu_0_3_node_874,0
graph_091_mu_0_3_node_356,0
graph_091_mu_0_3_node_683,0
graph_091_mu_0_3_node_456,0
graph_091_mu_0_3_node_294,0
graph_091_mu_0_3_node_515,0
graph_091_mu_0_3_node_655,0
graph_091_mu_0_3_node_603,0
graph_091_mu_0_3_node_73,1
graph_091_mu_0_3_node_400,0
graph_091_mu_0_3_node_480,0
graph_091_mu_0_3_node_444,1
graph_091_mu_0_3_node_284,1
graph_091_mu_0_3_node_366,0
graph_091_mu_0_3_node_217,1
graph_091_mu_0_3_node_196,0
graph_091_mu_0_3_node_843,0
graph_091_mu_0_3_node_663,1
graph_091_mu_0_3_node_668,1
graph_091_mu_0_3_node_293,1
graph_091_mu_0_3_node_775,1
graph_091_mu_0_3_node_592,0
graph_091_mu_0_3_node_797,1
graph_091_mu_0_3_node_581,1
graph_091_mu_0_3_node_197,0
graph_091_mu_0_3_node_159,1
graph_091_mu_0_3_node_713,1
graph_091_mu_0_3_node_970,0
graph_091_mu_0_3_node_427,0
graph_091_mu_0_3_node_327,0
graph_091_mu_0_3_node_484,0
graph_091_mu_0_3_node_809,0
graph_091_mu_0_3_node_860,0
graph_091_mu_0_3_node_795,0
graph_091_mu_0_3_node_105,1
graph_091_mu_0_3_node_239,0
graph_091_mu_0_3_node_466,1
graph_091_mu_0_3_node_930,1
graph_091_mu_0_3_node_538,0
graph_091_mu_0_3_node_918,0
graph_091_mu_0_3_node_289,1
graph_091_mu_0_3_node_677,0
graph_091_mu_0_3_node_631,0
graph_091_mu_0_3_node_629,0
graph_091_mu_0_3_node_385,0
graph_091_mu_0_3_node_969,0
graph_091_mu_0_3_node_651,0
graph_091_mu_0_3_node_445,0
graph_091_mu_0_3_node_298,1
graph_091_mu_0_3_node_872,1
graph_091_mu_0_3_node_285,0
graph_091_mu_0_3_node_854,1
graph_091_mu_0_3_node_855,0
graph_091_mu_0_3_node_624,0
graph_091_mu_0_3_node_613,0
graph_091_mu_0_3_node_303,0
graph_091_mu_0_3_node_550,0
graph_091_mu_0_3_node_65,1
graph_091_mu_0_3_node_373,1
graph_091_mu_0_3_node_957,1
graph_091_mu_0_3_node_397,0
graph_091_mu_0_3_node_869,1
graph_091_mu_0_3_node_689,0
graph_091_mu_0_3_node_301,0
graph_091_mu_0_3_node_678,1
graph_091_mu_0_3_node_123,0
graph_091_mu_0_3_node_952,0
graph_091_mu_0_3_node_364,1
graph_091_mu_0_3_node_399,0
graph_091_mu_0_3_node_214,1
graph_091_mu_0_3_node_650,1
graph_091_mu_0_3_node_88,1
graph_091_mu_0_3_node_740,1
graph_091_mu_0_3_node_61,1
graph_091_mu_0_3_node_752,0
graph_091_mu_0_3_node_525,0
graph_091_mu_0_3_node_91,1
graph_091_mu_0_3_node_19,1
graph_091_mu_0_3_node_529,1
graph_091_mu_0_3_node_801,0
graph_091_mu_0_3_node_822,0
graph_091_mu_0_3_node_848,0
graph_091_mu_0_3_node_675,0
graph_091_mu_0_3_node_419,0
graph_091_mu_0_3_node_499,0
graph_091_mu_0_3_node_153,0
graph_091_mu_0_3_node_156,1
graph_091_mu_0_3_node_157,1
graph_091_mu_0_3_node_670,0
graph_091_mu_0_3_node_516,0
graph_091_mu_0_3_node_428,1
graph_091_mu_0_3_node_213,0
graph_091_mu_0_3_node_924,0
graph_091_mu_0_3_node_927,0
graph_091_mu_0_3_node_528,0
graph_091_mu_0_3_node_36,1
graph_091_mu_0_3_node_125,1
graph_091_mu_0_3_node_336,0
graph_091_mu_0_3_node_716,0
graph_091_mu_0_3_node_404,0
graph_091_mu_0_3_node_137,1
graph_091_mu_0_3_node_161,0
graph_091_mu_0_3_node_595,0
graph_091_mu_0_3_node_338,0
graph_091_mu_0_3_node_279,1
graph_091_mu_0_3_node_570,1
graph_091_mu_0_3_node_43,1
graph_091_mu_0_3_node_85,0
graph_091_mu_0_3_node_198,1
graph_091_mu_0_3_node_335,1
graph_091_mu_0_3_node_652,0
graph_091_mu_0_3_node_142,1
graph_091_mu_0_3_node_644,1
graph_091_mu_0_3_node_110,0
graph_091_mu_0_3_node_972,0
graph_091_mu_0_3_node_2,0
graph_091_mu_0_3_node_212,1
graph_091_mu_0_3_node_803,0
graph_091_mu_0_3_node_885,0
graph_091_mu_0_3_node_788,0
graph_091_mu_0_3_node_60,0
graph_091_mu_0_3_node_667,0
graph_091_mu_0_3_node_783,0
graph_091_mu_0_3_node_751,0
graph_091_mu_0_3_node_314,0
graph_091_mu_0_3_node_574,0
graph_091_mu_0_3_node_360,0
graph_091_mu_0_3_node_425,1
graph_091_mu_0_3_node_984,0
graph_091_mu_0_3_node_579,0
graph_091_mu_0_3_node_981,0
graph_091_mu_0_3_node_221,0
graph_091_mu_0_3_node_423,1
graph_091_mu_0_3_node_896,0
graph_091_mu_0_3_node_152,1
graph_091_mu_0_3_node_830,1
graph_091_mu_0_3_node_418,1
graph_091_mu_0_3_node_92,0
graph_091_mu_0_3_node_534,1
graph_091_mu_0_3_node_884,1
graph_091_mu_0_3_node_120,1
graph_091_mu_0_3_node_931,0
graph_091_mu_0_3_node_57,1
graph_091_mu_0_3_node_696,0
graph_091_mu_0_3_node_530,0
graph_091_mu_0_3_node_773,0
graph_091_mu_0_3_node_412,0
graph_091_mu_0_3_node_435,0
graph_091_mu_0_3_node_582,1
graph_091_mu_0_3_node_264,1
graph_091_mu_0_3_node_309,1
graph_091_mu_0_3_node_11,1
graph_091_mu_0_3_node_858,0
graph_091_mu_0_3_node_875,1
graph_091_mu_0_3_node_224,0
graph_091_mu_0_3_node_357,0
graph_091_mu_0_3_node_908,1
graph_091_mu_0_3_node_67,1
graph_091_mu_0_3_node_375,0
graph_091_mu_0_3_node_659,1
graph_091_mu_0_3_node_770,1
graph_091_mu_0_3_node_888,1
graph_091_mu_0_3_node_389,0
graph_091_mu_0_3_node_429,1
graph_091_mu_0_3_node_174,0
graph_091_mu_0_3_node_532,1
graph_091_mu_0_3_node_47,1
graph_091_mu_0_3_node_262,1
graph_091_mu_0_3_node_387,1
graph_091_mu_0_3_node_541,1
graph_091_mu_0_3_node_962,0
graph_091_mu_0_3_node_462,0
graph_091_mu_0_3_node_567,0
graph_091_mu_0_3_node_866,0
graph_091_mu_0_3_node_776,0
graph_091_mu_0_3_node_994,0
graph_091_mu_0_3_node_900,1
graph_091_mu_0_3_node_5,1
graph_091_mu_0_3_node_762,1
graph_091_mu_0_3_node_432,1
graph_091_mu_0_3_node_533,0
graph_091_mu_0_3_node_504,0
graph_091_mu_0_3_node_899,0
graph_091_mu_0_3_node_539,0
graph_091_mu_0_3_node_38,1
graph_091_mu_0_3_node_748,0
graph_091_mu_0_3_node_959,1
