,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_09_mu_0_4_node_349,29,0.0598290598290598,0.0015695102963108,0.4021739130434782,2.4864864864864864,0.0268424794979169,23.798,5.202,21.04043961838815,0.1793793103448276,0.2937148634242325,0.0053934587805506,0.132455958653269,0.1326470115231643,0.1590525551417307
graph_09_mu_0_4_node_865,37,0.1294117647058823,0.0022965534036395,0.4046172539489672,2.4714714714714714,0.0293074166327096,32.32,4.68,26.98559056078996,0.1264864864864865,0.1880637849339557,0.0048581766991154,0.0818938206989278,0.0820658385319162,0.2347790177265343
graph_09_mu_0_4_node_680,21,0.0714285714285714,0.0008890690342435,0.3909980430528376,2.557557557557557,0.0217424189867585,17.56,3.44,15.344351828808447,0.1638095238095238,0.0783537340969699,0.0038559302239911,0.1184846437999903,0.1186109918859311,0.0518694761537148
graph_09_mu_0_4_node_485,20,0.0578947368421052,0.0009217741993825,0.392688679245283,2.5465465465465464,0.020260309823088,16.084,3.916,14.52924753351224,0.1958,0.0771358384092793,0.0044375688032606,0.1529206979314635,0.1530644952295954,0.0343468050525075
graph_09_mu_0_4_node_220,22,0.0692640692640692,0.0010574784272859,0.3864603481624758,2.587587587587588,0.0190783838342089,18.046,3.954,16.00549293614882,0.1797272727272726,0.1922683929322209,0.0041725262484744,0.1335981626374039,0.1337433754335635,0.1025951276258135
graph_09_mu_0_4_node_944,15,0.0285714285714285,0.000467073655594,0.3799923925446938,2.6316316316316315,0.0169198733944446,11.786,3.214,10.888460955710956,0.2142666666666667,0.1128202889368534,0.0035027649189843,0.1745210218058515,0.1746390332602039,0.0346098265343824
graph_09_mu_0_4_node_836,43,0.1402439024390244,0.002681738460575,0.4349151066608619,2.299299299299299,0.0575112323488695,37.471,5.529,31.29128338493292,0.1285813953488372,0.1490071854511176,0.005806499188918,0.0835114399196474,0.0837146869114059,0.1954637082727136
graph_09_mu_0_4_node_76,27,0.094017094017094,0.0015117376928647,0.4079216006533279,2.4514514514514514,0.0274692149289851,22.281,4.719,19.619704798606968,0.1747777777777777,0.2472253001439649,0.004968560173666,0.12840834418563,0.1285816618160965,0.1402065554603532
graph_09_mu_0_4_node_114,26,0.043076923076923,0.0015346840480705,0.4107730263157895,2.434434434434434,0.0320900201090084,21.129,4.871,18.860692417317804,0.1873461538461538,0.0754410561214113,0.0053071172280171,0.1412079271624163,0.1413868079804133,0.0451907790068004
graph_09_mu_0_4_node_902,30,0.1425287356321839,0.00163397990513,0.411619283065513,2.4294294294294296,0.0387925910046933,25.321,4.679,21.824458365164247,0.1559666666666666,0.126436699423604,0.0049123374698202,0.1082380250473201,0.1084099189900892,0.1141800572209804
graph_09_mu_0_4_node_665,23,0.0909090909090909,0.0011047275353495,0.3891702376314764,2.5695695695695697,0.0198917413762763,19.223,3.777,16.767320145867206,0.1642173913043478,0.1702775225390584,0.0039864190078559,0.1172393837155212,0.1173781158382987,0.1163566099262038
graph_09_mu_0_4_node_106,35,0.0857142857142857,0.002455277129722,0.4215189873417722,2.3723723723723724,0.0364170021569583,29.862,5.138,25.45885077355279,0.1467999999999999,0.0889637043758754,0.0056055914893175,0.0998570746787492,0.1000458642137895,0.0933547767428258
graph_09_mu_0_4_node_2,19,0.0735294117647058,0.0006554903963154,0.3821729150726855,2.6166166166166165,0.0170306489216953,16.063,2.937,13.920556765456764,0.154578947368421,0.1276249481796429,0.0031087232505539,0.1077393229769891,0.1078472055150502,0.0934321710326928
graph_09_mu_0_4_node_829,16,0.05,0.0006083735590386,0.380281690140845,2.6296296296296298,0.0163576065498182,12.965,3.035,11.660117349317348,0.1896875,0.0750137530236831,0.0034118771776721,0.1450746196188759,0.1451860734464889,0.0333868045838382
graph_09_mu_0_4_node_936,23,0.1620553359683794,0.0009331581082506,0.390234375,2.5625625625625625,0.0236599235217213,19.674,3.326,16.823177525252525,0.1446086956521739,0.1505136836126364,0.0034270746999816,0.0975406042929262,0.0976627952525427,0.1484685117748235
graph_09_mu_0_4_node_94,27,0.1851851851851851,0.0011759029831621,0.4013660104459622,2.4914914914914914,0.0340551645574531,23.731,3.269,19.81247564935065,0.121074074074074,0.0889023865036106,0.0034286804671172,0.0773798507260439,0.0774999849831266,0.129556341380257
