feature,importance_mean,importance_median,ci_lower,ci_upper,std_effect,n_graphs
Eigenvector,0.2048491521334455,0.2043784125761688,0.18531439514007805,0.222955029679563,0.10602129173035578,120.0
Triangle Participation,0.10411760950328401,0.10394955326371014,0.09020358244404403,0.11852357153932867,0.07852911781462532,120.0
Expansion,0.09344970148229019,0.09327546554286327,0.08359337172569117,0.10385086848622972,0.05746646435907542,120.0
Clustering Coefficient,0.07428631827121389,0.07433406098681139,0.06522824756936664,0.08384321846083226,0.054555328567905605,120.0
Shortest Path,0.0657517006135643,0.06557327727756695,0.06033919291278405,0.07134213371881878,0.030469832477379628,120.0
E In,0.06508619933390432,0.06516444127566279,0.059923638949228676,0.07076912371374,0.03075446855818686,120.0
Closeness,0.06440942521298389,0.06444664892944937,0.05933389801456434,0.07025740597740869,0.03005379025727554,120.0
Cut Ratio,0.055680797800506825,0.05559172594021848,0.0489040713827957,0.06244041174356579,0.0391930697141049,120.0
E Out,0.041777125819918805,0.041785903412722765,0.036469248860555664,0.04750185104904694,0.031460389696766976,120.0
Betweenness,0.04166997151886484,0.04151996391458501,0.03658463698093049,0.047290389241606376,0.030689739225760317,120.0
Degree,0.031584138170627406,0.031517048953510055,0.028433809019153048,0.03484960148238281,0.018715744628791095,120.0
Conductance,0.026763524668698746,0.026677292301545846,0.024036395115025033,0.02986234391728384,0.016612297193320292,120.0
ODF,0.026110907188507757,0.02612872668296471,0.023586556701023914,0.028583056228846142,0.013956460480259062,120.0
Normalised Cut,0.02526454794307724,0.02519626865005079,0.022124864015127668,0.0286177225493808,0.017652820496822815,120.0
E In Over E Out,0.02461387406522323,0.024554217651744575,0.022459833923244254,0.02690223053932172,0.012497787300705897,120.0
