feature,importance_mean,importance_median,ci_lower,ci_upper,std_effect,n_graphs
Eigenvector,0.2523777040033484,0.25257814596807054,0.22962108554182856,0.2774961058205874,0.1353013718556651,120.0
Expansion,0.19162862441808168,0.19184796755456535,0.1736949127569356,0.20994804294802663,0.0982857046982744,120.0
E Out,0.11450385120351632,0.11472947428214456,0.10271544853937623,0.12603616907042423,0.06846191771663439,120.0
Clustering Coefficient,0.07059655494475203,0.0708173858966355,0.06243707800445334,0.07916930880691345,0.04756309834827167,120.0
Shortest Path,0.06758168686712297,0.0673612893963366,0.061424179225439336,0.07383918567777292,0.03704823255726266,120.0
Triangle Participation,0.06652585647300015,0.06676878875994458,0.05879946789780914,0.07497893355285597,0.04694680717464869,120.0
E In,0.06280849812007995,0.06267549628939637,0.056127337071875796,0.06926071114686035,0.036693243338744706,120.0
Closeness,0.062158595197255966,0.06216675535424562,0.056687240765598,0.0675826738854125,0.030494958447372503,120.0
Cut Ratio,0.05462301400135239,0.05458388119561173,0.049235268368974086,0.06021135196917092,0.031200813367219304,120.0
Betweenness,0.03629635562219029,0.03622018333380213,0.03276510757432312,0.03985169668131995,0.019556308969290587,120.0
Degree,0.03130259563697697,0.031345983048859695,0.02819646611718328,0.03450522419112805,0.018232484625053128,120.0
Normalised Cut,0.030464375097082597,0.030515566405783713,0.027541017662247157,0.03360604051231657,0.016787884331589828,120.0
Conductance,0.030186387352125796,0.030055498752264685,0.027436099692640104,0.03330132333056143,0.017048613909579468,120.0
ODF,0.029695366997920667,0.02973568738013672,0.02682945722318919,0.032545806925633705,0.01575128858792804,120.0
E In Over E Out,0.022375881420941993,0.022384661449622395,0.020393810722628226,0.024435986907166383,0.011683667456058412,120.0
