,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
Degree,1.0,-0.07415408163916279,0.9006025314879781,0.7104914822671355,-0.663020193825097,0.7617355956975511,0.9176473236443462,0.7319253765123878,0.12677145385392594,-0.20385772049885703,0.009457125540681312,0.7739458063004712,-0.21266285601945112,-0.2115396829585726,0.20833880646416983
Clustering Coefficient,-0.07415408163916279,1.0,-0.029061108429857794,-0.46627870535939764,0.49539354572475836,-0.01676322491426544,0.2587661808536211,-0.6146378872144909,0.8376892863442237,-0.8264092069303034,-0.3234229931787133,-0.6016200445205635,-0.7864759003342155,-0.7867856781985758,0.5880021259895085
Betweenness,0.9006025314879781,-0.029061108429857794,1.0,0.4785053305501852,-0.4205386265320467,0.6516135967680452,0.8261283869934629,0.6597004352669421,0.08672871672952344,-0.14424814161014518,0.09630847648122758,0.6923420455321789,-0.14746342691776532,-0.14644626812116981,0.2855769443957379
Closeness,0.7104914822671355,-0.46627870535939764,0.4785053305501852,1.0,-0.9944431982354174,0.6251855126490276,0.522320025528951,0.742346051346034,-0.2201992072969895,0.13779277293909542,-0.0871928253141681,0.7980620129712243,0.10527178766358042,0.10614095063933969,-0.3408900840359595
Shortest Path,-0.663020193825097,0.49539354572475836,-0.4205386265320467,-0.9944431982354174,1.0,-0.6079501475827681,-0.4656738382949919,-0.7300352584413036,0.25455834846503395,-0.1752233142614811,0.07100262040193835,-0.7784687488054352,-0.14101508629770035,-0.14184861866865756,0.3666870778441667
Eigenvector,0.7617355956975511,-0.01676322491426544,0.6516135967680452,0.6251855126490276,-0.6079501475827681,1.0,0.7002631736420682,0.5553756832203885,0.14479440266209218,-0.14833098183695245,-0.05043892409538995,0.5872448631287818,-0.14470013740419121,-0.1438171036698721,0.045703152988391234
E In,0.9176473236443462,0.2587661808536211,0.8261283869934629,0.522320025528951,-0.4656738382949919,0.7002631736420682,1.0,0.40086993369478896,0.4525394969427915,-0.5513554947745593,-0.2263382403185224,0.4639256878263507,-0.5489114775603449,-0.5480368368057389,0.3388176676359889
E Out,0.7319253765123878,-0.6146378872144909,0.6597004352669421,0.742346051346034,-0.7300352584413036,0.5553756832203885,0.40086993369478896,1.0,-0.4836834978532357,0.47540533607167806,0.4098872117658499,0.988754669068405,0.4509158729101887,0.45200549503705767,-0.10065215714294527
E In Over E Out,0.12677145385392594,0.8376892863442237,0.08672871672952344,-0.2201992072969895,0.25455834846503395,0.14479440266209218,0.4525394969427915,-0.4836834978532357,1.0,-0.8783888141247596,-0.45652793539794906,-0.4404723774140199,-0.8271826516818798,-0.8273198635876491,0.41525513579093276
ODF,-0.20385772049885703,-0.8264092069303034,-0.14424814161014518,0.13779277293909542,-0.1752233142614811,-0.14833098183695245,-0.5513554947745593,0.47540533607167806,-0.8783888141247596,1.0,0.533411525748845,0.41923537302572944,0.9919122844475426,0.9919465154317426,-0.4745371226210592
Expansion,0.009457125540681312,-0.3234229931787133,0.09630847648122758,-0.0871928253141681,0.07100262040193835,-0.05043892409538995,-0.2263382403185224,0.4098872117658499,-0.45652793539794906,0.533411525748845,1.0,0.30806208588597483,0.5304415172108153,0.5307568646544922,0.3819852195688269
Cut Ratio,0.7739458063004712,-0.6016200445205635,0.6923420455321789,0.7980620129712243,-0.7784687488054352,0.5872448631287818,0.4639256878263507,0.988754669068405,-0.4404723774140199,0.41923537302572944,0.30806208588597483,1.0,0.39441033633336114,0.39550261156875344,-0.15451519845763834
Conductance,-0.21266285601945112,-0.7864759003342155,-0.14746342691776532,0.10527178766358042,-0.14101508629770035,-0.14470013740419121,-0.5489114775603449,0.4509158729101887,-0.8271826516818798,0.9919122844475426,0.5304415172108153,0.39441033633336114,1.0,0.9999992324677172,-0.46981379459680755
Normalised Cut,-0.2115396829585726,-0.7867856781985758,-0.14644626812116981,0.10614095063933969,-0.14184861866865756,-0.1438171036698721,-0.5480368368057389,0.45200549503705767,-0.8273198635876491,0.9919465154317426,0.5307568646544922,0.39550261156875344,0.9999992324677172,1.0,-0.4695612497647089
Triangle Participation,0.20833880646416983,0.5880021259895085,0.2855769443957379,-0.3408900840359595,0.3666870778441667,0.045703152988391234,0.3388176676359889,-0.10065215714294527,0.41525513579093276,-0.4745371226210592,0.3819852195688269,-0.15451519845763834,-0.46981379459680755,-0.4695612497647089,1.0
