,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
Degree,1.0,-0.07415408163916663,0.9006025314879733,0.7104914822671526,-0.6630201938251209,0.7617355956975744,0.9223388959946732,0.7471907407639925,0.114433454445137,-0.1957032222644911,0.1712619267744957,0.7782147636205214,-0.2060185005266808,-0.20482837405621035,0.3068890778086885
Clustering Coefficient,-0.07415408163916663,1.0,-0.029061108429851018,-0.4662787053593439,0.4953935457247042,-0.016763224914274222,0.25007804190267274,-0.6032082566926428,0.8369739306737718,-0.8307873665737577,-0.18031033621649598,-0.5968533643433103,-0.7935352619067243,-0.7938537875243212,0.6563238654544384
Betweenness,0.9006025314879733,-0.029061108429851018,1.0,0.47850533055018757,-0.4205386265320876,0.6516135967680632,0.8320094846314813,0.670601925272007,0.08071030733041404,-0.14197804317351018,0.22392329384054346,0.6949638386580462,-0.14641634378012278,-0.14533866601834985,0.34119259914695366
Closeness,0.7104914822671526,-0.4662787053593439,0.47850533055018757,1.0,-0.994443198235408,0.6251855126490375,0.5236832707606625,0.7572885692099872,-0.24074234810811046,0.1602269264534619,0.007729876822512867,0.8031392913940073,0.1280833108818683,0.1290026542045074,-0.2311231857039162
Shortest Path,-0.6630201938251209,0.4953935457247042,-0.4205386265320876,-0.994443198235408,1.0,-0.6079501475828261,-0.4670324328179397,-0.7439494569011574,0.2761198366039792,-0.1984086027725407,-0.021840979132547404,-0.7833108362739817,-0.16467637694930895,-0.16555716155719907,0.2545849918454518
Eigenvector,0.7617355956975744,-0.016763224914274222,0.6516135967680632,0.6251855126490375,-0.6079501475828261,1.0,0.7033246618266235,0.5678780958965906,0.12872386060683952,-0.13923191243385782,0.07506741230144971,0.5913568077519726,-0.13742753435878446,-0.13649155835193272,0.16331623404774118
E In,0.9223388959946732,0.25007804190267274,0.8320094846314813,0.5236832707606625,-0.4670324328179397,0.7033246618266235,1.0,0.43236995076201507,0.4322587591215242,-0.5354638106023756,-0.025818119267012697,0.4797764171089923,-0.5354492674562961,-0.5345052508704737,0.46871483729386904
E Out,0.7471907407639925,-0.6032082566926428,0.670601925272007,0.7572885692099872,-0.7439494569011574,0.5678780958965906,0.43236995076201507,1.0,-0.47646934316619144,0.4643321918728181,0.44408194230074094,0.9908573648488936,0.440234494309277,0.44138809420111247,-0.09004474975800554
E In Over E Out,0.114433454445137,0.8369739306737718,0.08071030733041404,-0.24074234810811046,0.2761198366039792,0.12872386060683952,0.4322587591215242,-0.47646934316619144,1.0,-0.878954795107266,-0.3388867431203827,-0.44388786446020734,-0.830408926612124,-0.8305541224404187,0.5162016562149536
ODF,-0.1957032222644911,-0.8307873665737577,-0.14197804317351018,0.1602269264534619,-0.1984086027725407,-0.13923191243385782,-0.5354638106023756,0.4643321918728181,-0.878954795107266,1.0,0.3465974681702119,0.4230079156703122,0.9926573638656948,0.9926922228279907,-0.5853546005636364
Expansion,0.1712619267744957,-0.18031033621649598,0.22392329384054346,0.007729876822512867,-0.021840979132547404,0.07506741230144971,-0.025818119267012697,0.44408194230074094,-0.3388867431203827,0.3465974681702119,1.0,0.3504878251638044,0.3315382033948928,0.3320587213151306,0.45594366466744285
Cut Ratio,0.7782147636205214,-0.5968533643433103,0.6949638386580462,0.8031392913940073,-0.7833108362739817,0.5913568077519726,0.4797764171089923,0.9908573648488936,-0.44388786446020734,0.4230079156703122,0.3504878251638044,1.0,0.3989222356828511,0.40007274297490514,-0.1323125427581205
Conductance,-0.2060185005266808,-0.7935352619067243,-0.14641634378012278,0.1280833108818683,-0.16467637694930895,-0.13742753435878446,-0.5354492674562961,0.440234494309277,-0.830408926612124,0.9926573638656948,0.3315382033948928,0.3989222356828511,1.0,0.9999991499438903,-0.5753079596646515
Normalised Cut,-0.20482837405621035,-0.7938537875243212,-0.14533866601834985,0.1290026542045074,-0.16555716155719907,-0.13649155835193272,-0.5345052508704737,0.44138809420111247,-0.8305541224404187,0.9926922228279907,0.3320587213151306,0.40007274297490514,0.9999991499438903,1.0,-0.5749837022568299
Triangle Participation,0.3068890778086885,0.6563238654544384,0.34119259914695366,-0.2311231857039162,0.2545849918454518,0.16331623404774118,0.46871483729386904,-0.09004474975800554,0.5162016562149536,-0.5853546005636364,0.45594366466744285,-0.1323125427581205,-0.5753079596646515,-0.5749837022568299,1.0
