,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
Degree,1.0,-0.07415408163916663,0.9006025314879733,0.7104914822671526,-0.6630201938251209,0.7617355956975744,0.9629032248814118,0.5570732931536039,0.5027035986193055,-0.1517173372461681,-0.012709331849242307,0.6036375536208283,-0.17063353932581204,-0.169599208672087,0.07440304720239292
Clustering Coefficient,-0.07415408163916663,1.0,-0.029061108429851018,-0.4662787053593439,0.4953935457247042,-0.016763224914274222,-0.15115377412731443,0.2041258762167771,-0.5634458729046504,0.298822038098632,0.4181328967873499,0.03093867758286798,0.15149347648464354,0.15178258336521652,0.796875472844962
Betweenness,0.9006025314879733,-0.029061108429851018,1.0,0.47850533055018757,-0.4205386265320876,0.6516135967680632,0.8486356276502184,0.5588128248572353,0.40028890202291895,-0.0174915214367487,0.14758560811852373,0.5603979698848639,-0.03604407973305081,-0.035104581549131084,0.18749993964049247
Closeness,0.7104914822671526,-0.4662787053593439,0.47850533055018757,1.0,-0.994443198235408,0.6251855126490375,0.7343896318957308,0.2411340461982881,0.6232573402674605,-0.3284474228357549,-0.4271415852457296,0.4421989698822612,-0.2855381466333872,-0.28498782420666857,-0.47458022841495284
Shortest Path,-0.6630201938251209,0.4953935457247042,-0.4205386265320876,-0.994443198235408,1.0,-0.6079501475828261,-0.691095801447306,-0.2072524238221273,-0.6189872594806876,0.3444691679529287,0.4481233757887528,-0.40344403358588754,0.29491762814408673,0.29441029693911247,0.5100523860646203
Eigenvector,0.7617355956975744,-0.016763224914274222,0.6516135967680632,0.6251855126490375,-0.6079501475828261,1.0,0.7543544376284421,0.36009355709097474,0.42495654796810073,-0.2228926015418933,-0.14638329885616153,0.3684377646174018,-0.22086131479521473,-0.22004680238484142,-0.04328517326771217
E In,0.9629032248814118,-0.15115377412731443,0.8486356276502184,0.7343896318957308,-0.691095801447306,0.7543544376284421,1.0,0.3123096684512051,0.6734090440055568,-0.39113719185997914,-0.19566739211854797,0.4090930503406031,-0.3981409886773469,-0.3972721267354865,-0.05875353061137998
E Out,0.5570732931536039,0.2041258762167771,0.5588128248572353,0.2411340461982881,-0.2072524238221273,0.36009355709097474,0.3123096684512051,1.0,-0.30270112302695373,0.6696262539339167,0.5574307054681593,0.866072540522919,0.6245873026777939,0.6255546503188683,0.4427475771564123
E In Over E Out,0.5027035986193055,-0.5634458729046504,0.40028890202291895,0.6232573402674605,-0.6189872594806876,0.42495654796810073,0.6734090440055568,-0.30270112302695373,1.0,-0.6942570282771517,-0.45721815961944406,-0.1831016327750974,-0.5839399383936351,-0.5838865466970993,-0.5591110542768862
ODF,-0.1517173372461681,0.298822038098632,-0.0174915214367487,-0.3284474228357549,0.3444691679529287,-0.2228926015418933,-0.39113719185997914,0.6696262539339167,-0.6942570282771517,1.0,0.7102643375862013,0.4977167610951156,0.9670327219121341,0.9671472704086679,0.4654024225848558
Expansion,-0.012709331849242307,0.4181328967873499,0.14758560811852373,-0.4271415852457296,0.4481233757887528,-0.14638329885616153,-0.19566739211854797,0.5574307054681593,-0.45721815961944406,0.7102643375862013,1.0,0.26717669434825503,0.6772041516409709,0.6775264175526043,0.7356733912780239
Cut Ratio,0.6036375536208283,0.03093867758286798,0.5603979698848639,0.4421989698822612,-0.40344403358588754,0.3684377646174018,0.4090930503406031,0.866072540522919,-0.1831016327750974,0.4977167610951156,0.26717669434825503,1.0,0.45926063505572073,0.4601161934662957,0.19153174965291725
Conductance,-0.17063353932581204,0.15149347648464354,-0.03604407973305081,-0.2855381466333872,0.29491762814408673,-0.22086131479521473,-0.3981409886773469,0.6245873026777939,-0.5839399383936351,0.9670327219121341,0.6772041516409709,0.45926063505572073,1.0,0.9999992047786397,0.3104314699723963
Normalised Cut,-0.169599208672087,0.15178258336521652,-0.035104581549131084,-0.28498782420666857,0.29441029693911247,-0.22004680238484142,-0.3972721267354865,0.6255546503188683,-0.5838865466970993,0.9671472704086679,0.6775264175526043,0.4601161934662957,0.9999992047786397,1.0,0.31096534980408
Triangle Participation,0.07440304720239292,0.796875472844962,0.18749993964049247,-0.47458022841495284,0.5100523860646203,-0.04328517326771217,-0.05875353061137998,0.4427475771564123,-0.5591110542768862,0.4654024225848558,0.7356733912780239,0.19153174965291725,0.3104314699723963,0.31096534980408,1.0
