feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Eigenvector,120,-0.0009512324756954581,0.13791327550610546,0.45355870841487284,0.10935866683618774,-0.39283868586194165,0.45355870841487284,-0.1026,-0.030696548821548823,0.07055059523809523
Triangle Participation,120,0.00022048427755307618,0.07488407225941243,0.35134375,0.04919291235499311,-0.23571839080459772,0.35134375,-0.03076219033159821,-0.00012500000000000044,0.02994760670771309
Clustering Coefficient,120,-0.00031188094292346723,0.04390682582508124,0.3319562841530055,0.02887314649463062,-0.23120833333333335,0.3319562841530055,-0.019855634357762015,-0.002250000000000019,0.0173422484783387
Expansion,120,-5.860988023674336e-05,0.05515311841389498,0.27836000000000005,0.038029746397835185,-0.18882812500000007,0.27836000000000005,-0.023678921568627446,-0.0010502052545155955,0.024917366946778714
E In,120,-0.0005463116637939023,0.044203959954458624,0.18710344827586206,0.033917810773663806,-0.16672448979591833,0.18710344827586206,-0.02903381642512076,-0.0033086640211640104,0.023200000000000016
Cut Ratio,120,-0.00013269701215606503,0.036446200565816066,0.1663437074829932,0.025625503905471806,-0.1663437074829932,0.16492604032604036,-0.016744318181818187,0.001316341066341072,0.017483130073755085
E Out,120,-0.0007355607025641956,0.029213164138366898,0.15046164736164738,0.018707011438351236,-0.15046164736164738,0.14117709722709723,-0.011763433936955059,-0.000533333333333333,0.009638041918291512
Closeness,120,-0.00038411424103865547,0.03909987785384169,0.14739473684210527,0.029684082081331564,-0.11762971078001751,0.14739473684210527,-0.024766438356164384,-0.0031000000000000055,0.020444444444444432
Shortest Path,120,-0.0001918083114734116,0.039327960127988205,0.14224,0.029911799883307538,-0.11902439024390242,0.14224,-0.02474524822695036,-0.004319907407407409,0.02098578987150417
Betweenness,120,8.13220881535233e-05,0.023659070333598875,0.11622801635991822,0.016842564086301352,-0.11622801635991822,0.09282317073170733,-0.010848511904761918,0.0006249999999999999,0.012743343573988743
Normalised Cut,120,-0.00011540931651323106,0.014214909730868827,0.11280000000000003,0.00956239419823962,-0.08660526315789474,0.11280000000000003,-0.007310069444444445,-0.0007589743589743577,0.005546798406862745
Degree,120,0.00017403194509885953,0.022517483296582083,0.09665280904280904,0.01611273869064245,-0.08975000000000001,0.09665280904280904,-0.011338816438443452,-0.0008707204228037567,0.010851836498602146
Conductance,120,-0.00014053911580780087,0.016231898336614727,0.07818181818181817,0.01131216950571549,-0.07818181818181817,0.07691489361702124,-0.008757270408163265,-0.0006365384615384613,0.007063209004696737
ODF,120,-0.00011602679834784544,0.014878771820486313,0.07163636363636364,0.0104270924983273,-0.07163636363636364,0.07036363636363635,-0.00855986926236655,-0.00031313131313132,0.006534703679583184
E In Over E Out,120,-0.00011215424561763997,0.013906192459836866,0.07004444444444446,0.00981343602172765,-0.05500000000000003,0.07004444444444446,-0.007006493506493519,-0.00025700343200342897,0.006710317460317459
