feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Eigenvector,120,9.373356105873143e-05,0.07306083383871499,0.4127628415300546,0.04511058443449682,-0.3524260379043301,0.4127628415300546,-0.022614639106269072,0.0027406896937178645,0.025770095869889015
Expansion,120,-0.00018409762302817428,0.11850358333171189,0.3607096271015806,0.09697041689113793,-0.3278811153255514,0.3607096271015806,-0.09850204127524025,0.007057899132608717,0.08158795816228244
Triangle Participation,120,-0.00015888495037710766,0.10229604829788916,0.30778445867026055,0.08002910892813571,-0.30778445867026055,0.28186829188558765,-0.06989152634667266,-7.182061697479715e-05,0.06861016029843832
Clustering Coefficient,120,-8.725989086062801e-05,0.05152273614923344,0.2746191176470589,0.03658332164715889,-0.2068611644078981,0.2746191176470589,-0.026694201133333453,0.0009577501440628152,0.025296309853628747
Cut Ratio,120,4.4791078699258866e-05,0.04411577510350181,0.255249000999001,0.028934842945745096,-0.255249000999001,0.20684685616270523,-0.01746981818594549,0.00027357569852278114,0.016289208034819494
ODF,120,-4.164015114572019e-05,0.0386777109659458,0.19222178453395042,0.02576799952872912,-0.19222178453395042,0.16753760771196624,-0.013078436528912262,0.0005423899418478418,0.016741269641251978
E Out,120,-3.199689569562155e-05,0.03567473722075769,0.16169854508698844,0.02510965314605615,-0.13864803499959158,0.16169854508698844,-0.016406995884773658,0.00022792353755456894,0.015778113213789455
E In Over E Out,120,1.2004434959352665e-05,0.017779373519618513,0.14145054945054944,0.01092399841689576,-0.14145054945054944,0.10373004866827928,-0.005974196706518868,0.0002532534918392971,0.006909464386112867
Conductance,120,-3.81146062117776e-05,0.024691060404380506,0.11622500000000001,0.016958258942225808,-0.10206516085600911,0.11622500000000001,-0.011008757264957243,-0.00021350832498586504,0.01114972102628102
Betweenness,120,3.184141444570653e-06,0.021298009746107717,0.10993794778384941,0.014503040698225493,-0.0949501524647584,0.10993794778384941,-0.009647557112571536,-0.00014024390243902522,0.008644457589819294
Closeness,120,8.533724489802658e-05,0.01663654644923597,0.10161435944140862,0.011334939032313371,-0.10161435944140862,0.07796785857193156,-0.0065648292760086486,0.000902709718497559,0.008372074842728346
Normalised Cut,120,-3.2107064841891096e-05,0.023141756739579532,0.09972499999999998,0.016241355551208658,-0.08700749223602483,0.09972499999999998,-0.011210633122626986,3.073730633704518e-05,0.011057579382236294
Degree,120,-2.7541210564016824e-05,0.01173548309239092,0.09638011396011396,0.007765070855052602,-0.05730650508143332,0.09638011396011396,-0.004545952830782723,0.00069336183079901,0.005016393959562177
E In,120,1.665496446190333e-05,0.014337253034668367,0.08849390313390312,0.009519974245787013,-0.07240214838071983,0.08849390313390312,-0.006242249366083724,0.0002826844069727157,0.005907760792455566
Shortest Path,120,-3.357920824822272e-05,0.01615053616946319,0.07936064159179736,0.011253959759163904,-0.07891668957955628,0.07936064159179736,-0.007735003012451466,0.00029025118479951965,0.00800266238113195
