,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
Degree,1.0,-0.13672830502321054,0.9288721590685702,0.7998449096913572,-0.746166649632637,0.8440049742395233,0.9813955232081321,0.7133065694639323,0.690586624131117,-0.10286812024294807,0.22966587011340675,0.7288836868315791,-0.12097555867583168,-0.11935082983232509,0.5199266336249452
Clustering Coefficient,-0.13672830502321054,1.0,-0.17733835804090436,0.0420300279833533,-0.06084700848598543,0.07865778699367182,-0.11093243001847398,-0.1824070893057127,-0.08049638180222762,-0.15557795433925484,0.02350176105314696,-0.26310020137224516,-0.18406498975077715,-0.18426995343533395,0.12691524793674616
Betweenness,0.9288721590685702,-0.17733835804090436,1.0,0.6493959733216088,-0.5822545257855631,0.7921454746096628,0.9188154135240459,0.6361990437022672,0.6334256195639693,-0.07171803714518586,0.17695929527154566,0.6884015748031533,-0.08240839440216895,-0.08097506765868163,0.42775979629125216
Closeness,0.7998449096913572,0.0420300279833533,0.6493959733216088,1.0,-0.9942801881053309,0.8458443134810782,0.7834410264862253,0.5760947639064091,0.5697323721135511,-0.1193826274439656,0.04912311077506233,0.6147371648398021,-0.1346017909959119,-0.13326365549214664,0.2876243340407793
Shortest Path,-0.746166649632637,-0.06084700848598543,-0.5822545257855631,-0.9942801881053309,1.0,-0.8057141317780899,-0.7275457623818135,-0.5495439275215495,-0.5304108266533334,0.1086234165874279,-0.04450969657003267,-0.5780785161111235,0.12359234603135649,0.1223212180715089,-0.26778576315635844
Eigenvector,0.8440049742395233,0.07865778699367182,0.7921454746096628,0.8458443134810782,-0.8057141317780899,1.0,0.8365004660509564,0.5721097559122545,0.5529129460124221,-0.09498584968951637,0.013899940872981343,0.6202967613841616,-0.11614077578765387,-0.11480165203456927,0.2786862939871849
E In,0.9813955232081321,-0.11093243001847398,0.9188154135240459,0.7834410264862253,-0.7275457623818135,0.8365004660509564,1.0,0.5654744017522884,0.7804713270189517,-0.26622873789063006,0.10491424848929964,0.6587925858341748,-0.2798432807598501,-0.27836292780023353,0.41706743476361974
E Out,0.7133065694639323,-0.1824070893057127,0.6361990437022672,0.5760947639064091,-0.5495439275215495,0.5721097559122545,0.5654744017522884,1.0,0.11759172932205028,0.5299296364378172,0.6036095455766541,0.7262728551052225,0.5018426524920456,0.5034182624705977,0.7110275675167468
E In Over E Out,0.690586624131117,-0.08049638180222762,0.6334256195639693,0.5697323721135511,-0.5304108266533334,0.5529129460124221,0.7804713270189517,0.11759172932205028,1.0,-0.5591073905341083,-0.12675250165154078,0.19984258738284885,-0.5373747837981063,-0.5365725125825737,0.11149878826335986
ODF,-0.10286812024294807,-0.15557795433925484,-0.07171803714518586,-0.1193826274439656,0.1086234165874279,-0.09498584968951637,-0.26622873789063006,0.5299296364378172,-0.5591073905341083,1.0,0.5540171988423495,0.21676554549434504,0.994184661958782,0.9942492279627946,0.3226645759441453
Expansion,0.22966587011340675,0.02350176105314696,0.17695929527154566,0.04912311077506233,-0.04450969657003267,0.013899940872981343,0.10491424848929964,0.6036095455766541,-0.12675250165154078,0.5540171988423495,1.0,0.24442985745506618,0.5479409048546627,0.5486318687449498,0.8653164030965905
Cut Ratio,0.7288836868315791,-0.26310020137224516,0.6884015748031533,0.6147371648398021,-0.5780785161111235,0.6202967613841616,0.6587925858341748,0.7262728551052225,0.19984258738284885,0.21676554549434504,0.24442985745506618,1.0,0.19173408958071514,0.1930562852438684,0.37016521302583544
Conductance,-0.12097555867583168,-0.18406498975077715,-0.08240839440216895,-0.1346017909959119,0.12359234603135649,-0.11614077578765387,-0.2798432807598501,0.5018426524920456,-0.5373747837981063,0.994184661958782,0.5479409048546627,0.19173408958071514,1.0,0.9999983304111041,0.288604658740282
Normalised Cut,-0.11935082983232509,-0.18426995343533395,-0.08097506765868163,-0.13326365549214664,0.1223212180715089,-0.11480165203456927,-0.27836292780023353,0.5034182624705977,-0.5365725125825737,0.9942492279627946,0.5486318687449498,0.1930562852438684,0.9999983304111041,1.0,0.28979965070385905
Triangle Participation,0.5199266336249452,0.12691524793674616,0.42775979629125216,0.2876243340407793,-0.26778576315635844,0.2786862939871849,0.41706743476361974,0.7110275675167468,0.11149878826335986,0.3226645759441453,0.8653164030965905,0.37016521302583544,0.288604658740282,0.28979965070385905,1.0
